,name,start_station_id,longitude,latitude,cell,capacity
87,GRENSEVEIEN,591,10.781671132800719,59.92463572049861,27,24
88,GRIFFENFELDTS GATE,555,10.751929899998473,59.93370259999496,7,15
89,GRØNLANDS TORG,381,10.762240000005658,59.912520000011625,6,14
90,GRÜNERHAGEN NORD,542,10.755427399999485,59.92242560000156,34,20
91,GUNERIUS,2308,10.75340575554934,59.914608453699586,11,12
92,HALLINGS GATE,578,10.738654999995322,59.92277700004011,38,24
93,HALLÉNPARKEN,744,10.76216899999599,59.931530199967085,12,10
94,HAMMERSBORG TORG,739,10.74918301158753,59.916527925273016,11,20
95,HANS NIELSEN HAUGES PLASS,393,10.774318999995295,59.93924400000729,16,21
96,HASLE,742,10.7928499999986,59.92434200001219,39,30
97,HASLE TORG,411,10.792847187624814,59.923235887919446,39,24
98,HASLELINJE,498,10.799231992659404,59.92763649997316,26,18
99,HAUSMANNS BRU,475,10.759871899996964,59.91465090002426,6,24
100,HAUSMANNS GATE,483,10.758327999998125,59.91545099998474,5,21
101,HEDMARKSGATA,2304,10.78388434595856,59.91178403655264,31,18
102,HELGA HELGESENS PLASS,480,10.766193900013585,59.91211090003402,20,25
103,HENRIK IBSENS GATE,511,10.722280299994457,59.915088000008,32,24
104,HENRIK WERGELANDS ALLÉ,584,10.720789400001264,59.92689419999596,18,35
105,HESSELBERGS GATE,2305,10.761265771390743,59.92774803110526,12,15
106,HIOA,400,10.735427999999958,59.91992699999433,14,25
107,HOFF TERRASSE HOLDEPLASS,566,10.675571400001441,59.92729409999545,36,660
108,HOFFSVEIEN,559,10.676033900002166,59.92389800000711,36,18
109,HOLBERGS PLASS,530,10.734305099997162,59.91930949998493,14,10
110,HUITFELDTS GATE,563,10.722900299996798,59.91268440003608,32,18
111,HUK,589,10.67509599999869,59.898126000010585,40,27
112,HUK 1,589,10.674403950323214,59.89853221724123,40,27
113,HUK 2,2347,10.674398461025774,59.89843428245909,40,29
114,HYDROPARKEN,748,10.715505000000118,59.914145000018486,23,30
115,IDIOTEN,596,10.736024177610703,59.931042771521724,1,18
116,ILA,433,10.748744999998042,59.93182800000029,2,18
117,JAKOB KIRKE,412,10.754897999995846,59.91786599997695,5,9
118,JARLSBORGVEIEN,602,10.675783300000495,59.930464500001975,36,18
119,JENNY BRAATENS PLASS,458,10.778370000006506,59.9283490000059,27,15
120,JENS BJELKES GATE,507,10.764158452337043,59.91917554491073,21,20
121,JERNBANETORGET,478,10.74992899999985,59.91190099996448,33,15
122,JESS CARLSENS GATE,521,10.752393900005746,59.91863589997476,34,14
123,JOHN COLLETTS PLASS,409,10.730035999996604,59.94039799998277,17,25
124,JORDALGATA,581,10.781087999995941,59.90822699999064,37,24
125,KAMPEN PARK ØST,594,10.782128999999307,59.91518200001713,31,21
126,KARENLYST ALLÉ,484,10.683813999995694,59.92033000002968,36,34
127,KARENSLYST ALLÉ,484,10.683814000000979,59.92032999999541,36,34
128,KIRKEGATA 15,787,10.743456971511481,59.91015615057436,4,12
129,KIRKERISTEN,396,10.746731534178197,59.91301190955124,8,24
130,KIRKEVEIEN,561,10.726323199341651,59.93349701970344,17,24
131,KJELD STUBS GATE,509,10.73559500000116,59.912711000004215,41,12
132,KLINGENBERGGATA,2280,10.73228129169978,59.91315053407009,0,15
133,KONTRASKJÆRET,414,10.738569999994512,59.910241999984585,41,12
134,KREBS' GATE,501,10.765412999998304,59.93599499998285,16,18
135,KROHGSTØTTEN HOSPITAL,2332,10.757376666842882,59.91629601075622,5,12
136,KVÆRNERBYEN,447,10.786167000008351,59.904472999994596,24,30
137,KVÆRNERVEIEN,1919,10.778592132296133,59.90591083488398,37,6
138,KØBENHAVNGATA BUSSTOPP,586,10.769131254108157,59.92946280764726,30,27
139,LAKKEGATA,440,10.76221349999864,59.91720880003902,21,17
140,LANDSTADS GATE,410,10.749675499994327,59.929005000029704,2,27
141,LANGKAIA,541,10.747997700001346,59.90805520000681,33,12
142,LEGEVAKTEN,2332,10.757376666842816,59.91629601075578,5,12
143,LILLE GRENSEN,526,10.74231010000192,59.91389729997278,4,15
144,LILLE SCHOUS PLASS,401,10.76062899999873,59.920258999999064,21,6
145,LILLEBORGBANEN,540,10.769110233571629,59.9336628392445,16,36
146,LINAAES GATE,549,10.745703541408474,59.91382676217827,8,21
147,LINDERN,434,10.7350062000025,59.935888299974714,1,21
148,LODALEN BUSSTOPP,738,10.777958000001444,59.90345280000404,37,12
149,LØRENPORTEN,2270,10.799817484162038,59.92879292051071,26,20
150,LØRENVEIEN,402,10.791740723847496,59.93090190894485,39,21
151,MAILUNDVEIEN,565,10.772820300000516,59.930918099999026,30,18
152,MAJORSTUA SKOLE,590,10.713681599998472,59.92943509998999,28,40
153,MAJORSTUEN,413,10.71692600000703,59.92904500007389,28,18
154,MAJORSTUEN T BANE,508,10.714630150518591,59.92981651514649,28,18
155,MAJORSTUVEIEN,473,10.716194999995915,59.92669700001408,28,9
156,MANDALLS GATE,522,10.76381470000352,59.91234689998114,6,10
157,MARCUS THRANES GATE,607,10.75859027482791,59.932767622880796,12,30
158,MARIENLYST,471,10.721764849123918,59.93244069009255,18,12
159,MARIENLYSTPARKEN,505,10.723477999999888,59.9321500000066,18,24
160,MELTZERS GATE,588,10.718434499998912,59.918014100005514,23,21
161,MONOLITTVEIEN,531,10.68113799999992,59.93594699999429,36,18
162,MUNKEDAMSVEIEN,615,10.730106100002374,59.91352270000274,0,21
163,MUNKEGATA,737,10.767800000001117,59.908255000004495,29,24
164,MUNKEGATA TRIKKESTOPP,737,10.76779999999573,59.90825499996454,29,24
165,MYRALØKKA ØST,525,10.760581300004754,59.93720500001265,9,15
166,MØLLEPARKEN,439,10.755969299994605,59.928392800022195,12,25
167,MØLLERGATA,477,10.748531826286374,59.915400986508935,8,660
168,NEDRE SLOTTSGATE,528,10.743669000002065,59.91324499999662,4,660
169,NORDRE GATE,585,10.754745265357982,59.92117688837766,34,18
170,NORSK FOLKEMUSEUM,418,10.6868430000025,59.907674000010616,40,12
171,NYBRUA HOLDEPLASS,2334,10.757428972016953,59.91654492608345,5,12
172,NYDALEN,482,10.766482999999507,59.95286800000448,9,18
173,NYLANDSVEIEN,734,10.762281200002802,59.91566029998233,6,660
174,OLAF RYES PLASS,551,10.758182000011915,59.922424999997055,34,35
175,OLAV KYRRES PLASS,428,10.69689530000093,59.91933370000056,25,24
176,OLAV VS GATE,515,10.73212100000054,59.91291799999908,0,660
177,OSCARS GATE,564,10.72723880000656,59.92242219997926,13,30
178,OSLO HANDELSGYMNASIUM,404,10.720201999997254,59.91430600002224,32,27
179,OSLO HOSPITAL,735,10.767339667502842,59.90318123217259,29,15
180,OSLO PLAZA,448,10.754466669519486,59.912183864280806,11,9
181,OSLOMET,400,10.735428000002573,59.91992699998422,14,25
182,OVER RÅDHUSGATA,571,10.740712900003135,59.9101207000139,4,21
183,PALÉHAVEN,599,10.750109999995384,59.91033100002526,33,48
184,PARKVEIEN,403,10.730475999997486,59.92176799997788,13,15
185,PILESTREDET,556,10.729624600001824,59.92622420001983,13,18
186,PILESTREDET 63,622,10.731362699997211,59.92388259999912,13,30
187,PILESTREDET STUDENTHUS,389,10.73428540000047,59.92055279998256,14,18
188,PROFESSOR ASCHEHOUGS PLASS,1023,10.740971000000563,59.914767200009166,42,15
189,RIDDERVOLDPLASS,587,10.719641400003804,59.91914210002125,23,660
190,RINGNES PARK,398,10.759560673987279,59.92844483374711,12,18
191,ROLF WICKSTRØMS VEI,601,10.757724100001646,59.95341140000555,9,20
192,ROSTOCKGATA,2315,10.760310545807537,59.90691254038476,3,18
193,RUSELØKKGÅRDEN,449,10.726382651348906,59.91353979645427,32,24
194,RÅDHUSBRYGGE 4,494,10.730376600011358,59.91084690007553,0,660
195,RÅDHUSBRYGGE 4,507,10.764162,59.919179,21,20
196,RÅDHUSBRYGGE 4,589,10.675096,59.898126,40,27
197,RÅDHUSGATA,481,10.736215000001035,59.91092399999186,41,41
198,SAGA KINO,390,10.732803587614086,59.91416161526121,0,30
199,SAGENE BUSSHOLDEPLASS,407,10.7516480000002,59.93774299998878,7,15
200,SALT,616,10.746575246555448,59.90691473709527,33,15
201,SCHIVES GATE,613,10.71405514257317,59.92089616529526,23,27
202,SCHOUS PLASS,401,10.76062899999778,59.92025899999648,21,6
203,SCHOUS PLASS,423,10.760804000007253,59.92033499995107,21,19
204,SCHOUS PLASS TRIKKESTOPP,463,10.759485699995071,59.92072839997526,21,20
205,SENTRUM SCENE,437,10.751126762620268,59.915471402214244,11,24
206,SINSEN T BANE,614,10.780561515745857,59.93884855909085,27,24
207,SINSENVEIEN,415,10.78105299999898,59.929542000012994,27,12
208,SIRKUSTOMTA,497,10.774712000004017,59.919252000025345,22,27
209,SJØLYST,445,10.676659999998321,59.92167299998821,36,18
210,SJØSIDEN VED FONTENEN,392,10.751698750998946,59.91018085263209,33,49
211,SJØSIDEN VED TRAPPEN,443,10.751944156174464,59.91015997915781,33,43
212,SJØSIDEN VEST,392,10.751398075364758,59.9101790459662,33,49
213,SJØSIDEN ØST,443,10.751824000002745,59.91017799999305,33,43
214,SKARPSNOPARKEN,595,10.701037000000024,59.91487099999091,25,24
215,SKILLEBEKK,468,10.710115137789785,59.91277452606464,25,15
216,SKIPPERGATA,547,10.74819759999949,59.91122269999988,8,30
217,SKOVVEIEN,388,10.716348999996287,59.91633090002626,23,18
218,SKRÅNINGA,553,10.747466699999508,59.91397859996042,8,25
219,SKØYEN,572,10.679640147728612,59.922260299288475,36,40
220,SKØYEN STASJON,627,10.67871694485845,59.92269900581164,36,30
221,SLEMDALSVEIEN,386,10.714777999997063,59.93059600001513,28,660
