1,1,1,7.6002,5.5366,9.6622
3,1,1,17.754,4.2266,7.9016
5,1,1,24.068,3.373,6.7199
7,1,1,28.271,2.7795,5.8683
9,1,1,31.215,2.3474,5.2228
1,3,1,5.8079,11.909,8.0577
3,3,1,14.189,9.5233,6.8531
5,3,1,19.868,7.8659,5.9838
7,3,1,23.917,6.6587,5.3243
9,3,1,26.923,5.7465,4.8052
1,5,1,4.6529,15.021,6.9883
3,5,1,11.743,12.439,6.0998
5,5,1,16.851,10.557,5.4254
7,5,1,20.678,9.1331,4.8944
9,5,1,23.638,8.0232,4.4646
1,7,1,3.8612,16.625,6.2134
3,7,1,9.9857,14.146,5.5235
5,7,1,14.604,12.267,4.9803
7,7,1,18.195,10.8,4.5406
9,7,1,21.058,9.6265,4.1768
1,9,1,3.2917,17.508,5.6169
3,9,1,8.6741,15.217,5.0615
5,9,1,12.877,13.424,4.6121
7,9,1,16.24,11.987,4.2403
9,9,1,18.986,10.813,3.9272
1,1,3,6.2265,4.6144,22.526
3,1,3,15.131,3.6683,19.21
5,1,3,21.066,3.0079,16.826
7,1,3,25.217,2.5265,15.02
9,1,3,28.238,2.1639,13.597
1,3,3,4.9523,10.348,19.573
3,3,3,12.421,8.4974,17.148
5,3,3,17.72,7.1513,15.307
7,3,3,21.632,6.1378,13.855
9,3,3,24.615,5.3533,12.676
1,5,3,4.0725,13.402,17.477
3,5,3,10.471,11.304,15.598
5,5,3,15.235,9.7252,14.114
7,5,3,18.899,8.5014,12.909
9,5,3,21.791,7.5302,11.908
1,7,3,3.4414,15.094,15.887
3,7,3,9.0242,13.016,14.37
5,7,3,13.341,11.405,13.137
7,7,3,16.766,10.123,12.113
9,7,3,19.543,9.0828,11.248
1,9,3,2.9731,16.085,14.617
3,9,3,7.9197,14.124,13.356
5,9,3,11.859,12.562,12.309
7,9,3,15.064,11.292,11.424
9,9,3,17.717,10.241,10.665
1,1,5,5.3165,4.0028,30.396
3,1,5,13.277,3.2743,26.682
5,1,5,18.844,2.7392,23.882
7,1,5,22.879,2.3344,21.683
9,1,5,25.897,2.021,19.9
1,3,5,4.3487,9.249,27.158
3,3,5,11.114,7.7439,24.319
5,3,5,16.078,6.6095,22.083
7,3,5,19.836,5.733,20.266
9,3,5,22.761,5.0412,18.753
1,5,5,3.6446,12.218,24.769
3,5,5,9.4993,10.447,22.491
5,5,5,13.967,9.0805,20.637
7,5,5,17.47,8.0017,19.091
9,5,5,20.28,7.1332,17.779
1,7,5,3.1213,13.941,22.902
3,7,5,8.2701,12.144,21.007
5,7,5,12.328,10.724,19.426
7,7,5,15.597,9.5794,18.085
9,7,5,18.283,8.6403,16.929
1,9,5,2.7234,14.989,21.369
3,9,5,7.3147,13.265,19.753
5,9,5,11.028,11.872,18.381
7,9,5,14.087,10.727,17.199
9,9,5,16.647,9.7713,16.17
1,1,7,4.6691,3.5664,35.467
3,1,7,11.898,2.9814,31.789
5,1,7,17.139,2.5339,28.923
7,1,7,21.041,2.1847,26.614
9,1,7,24.019,1.9079,24.7
1,3,7,3.9011,8.4343,32.318
3,3,7,10.114,7.1697,29.426
5,3,7,14.788,6.188,27.085
7,3,7,18.397,5.4125,25.139
9,3,7,21.248,4.7902,23.485
1,5,7,3.3178,11.319,29.944
3,5,7,8.738,9.7825,27.568
5,5,7,12.952,8.5716,25.585
7,5,7,16.305,7.6008,23.898
9,5,7,19.028,6.8101,22.439
1,7,7,2.8709,13.052,28.056
3,7,7,7.6673,11.458,26.034
5,7,7,11.502,10.18,24.311
7,7,7,14.63,9.1388,22.82
9,7,7,17.226,8.2769,21.515
1,9,7,2.524,14.131,26.479
3,9,7,6.8224,12.58,24.718
5,9,7,10.34,11.314,23.194
7,9,7,13.267,10.265,21.86
9,9,7,15.739,9.3828,20.68
1,1,9,4.1835,3.2369,38.854
3,1,9,10.831,2.7541,35.364
5,1,9,15.788,2.3718,32.584
7,1,9,19.56,2.0652,30.302
9,1,9,22.485,1.8168,28.383
1,3,9,3.5558,7.804,35.908
3,3,9,9.3248,6.718,33.118
5,3,9,13.753,5.8525,30.816
7,3,9,17.223,5.1549,28.869
9,3,9,19.998,4.5864,27.19
1,5,9,3.061,10.616,33.666
3,5,9,8.1286,9.2556,31.339
5,5,9,12.126,8.1636,29.363
7,5,9,15.344,7.2759,27.653
9,5,9,17.982,6.5454,26.152
1,7,9,2.671,12.35,31.871
3,7,9,7.1779,10.91,29.862
5,7,9,10.822,9.741,28.119
7,7,9,13.822,8.7788,26.586
9,7,9,16.332,7.9768,25.224
1,9,9,2.3625,13.449,30.361
3,9,9,6.4172,12.029,28.582
5,9,9,9.766,10.86,27.017
7,9,9,12.575,9.8843,25.625
9,9,9,14.964,9.06,24.378
