,start_cell,end_cell,mean,std,scv,n,lambda,mu1,mu2,phi1
0,0,0,0.2795488441461595,0.5664458297499174,4.105833801883389,2,7.154384794931646,7.154384794931646,0.8712462730042623,0.8782220557075046
1,0,1,0.29317251461988303,0.13457783246596317,0.2107174753200361,5,17.05480476736648,17.05480476736648,17.05480476736648,0.0
2,0,2,0.6994444444444445,0.40761033658846263,0.33961270385537495,3,4.289118347895155,4.289118347895155,4.289118347895155,0.0
3,0,3,0.286388888888889,0.2535946859793092,0.7840937073420371,2,6.983511154219201,3.98197202423615,28.36313041926894,0.0
4,0,4,0.21432275132275136,0.12992247923691222,0.36747859491426116,3,13.997580665070233,13.997580665070233,13.997580665070233,0.0
5,0,5,0.5244444444444445,0.3056268131370204,0.33961270385537495,3,5.720338983050847,5.720338983050847,5.720338983050847,0.0
6,0,6,0.33105013550135504,0.4448996735991768,1.806078548209073,2,6.04138100403168,6.04138100403168,1.6725133605131346,0.7231571126871501
7,0,7,0.29811965811965796,0.7696107010658684,6.66439862986144,2,6.708715596330279,6.708715596330279,0.5033249036357359,0.9249744759025023
8,0,8,0.44215277777777773,0.12377826297364841,0.07836895432574711,13,29.401602010365952,29.401602010365952,29.401602010365952,0.0
9,0,9,0.2678703703703704,0.15610493827778957,0.33961270385537495,3,11.199446940891805,11.199446940891805,11.199446940891805,0.0
10,0,10,0.36597222222222214,0.2132750669004366,0.33961270385537495,3,8.197343453510438,8.197343453510438,8.197343453510438,0.0
11,0,11,0.4431828703703703,0.15320358883247842,0.11950111179423047,9,20.307644093912412,20.307644093912412,20.307644093912412,0.0
12,0,12,0.21648888888888895,0.09959188198806121,0.2116297192025191,5,23.095873537261337,23.095873537261337,23.095873537261337,0.0
13,0,13,0.32762626262626254,0.13967086024294675,0.18174153870967588,6,18.313550177277637,18.313550177277637,18.313550177277637,0.0
14,0,14,0.20617845117845124,0.09208283659742818,0.1994668974794679,6,29.10100432759042,29.10100432759042,29.10100432759042,0.0
15,0,16,0.465,0.2709847908852607,0.33961270385537495,3,6.451612903225806,6.451612903225806,6.451612903225806,0.0
16,0,17,0.2045669934640523,0.12074443672903652,0.348387957831601,3,14.665122409041894,14.665122409041894,14.665122409041894,0.0
17,0,18,0.24021666666666672,0.18857449151854483,0.616253811205201,2,8.325816970790257,5.617238334933404,16.07891712901657,0.0
18,0,19,0.3029340277777778,0.17653874014922766,0.33961270385537495,3,9.903146312109577,9.903146312109577,9.903146312109577,0.0
19,0,20,0.17289768185451648,0.1214927131394793,0.493767067297263,3,17.351302619108154,17.351302619108154,17.351302619108154,0.0
20,0,21,0.22518749999999996,0.06332178593122671,0.07907109471723778,13,57.72966971967806,57.72966971967806,57.72966971967806,0.0
21,0,22,0.13914874551971324,0.13702433197999253,0.9696986617476593,2,14.373108377873658,7.298865055388735,467.0401974037878,0.0
22,0,23,0.4536111111111111,0.26434776793048426,0.33961270385537495,3,6.613594611145132,6.613594611145132,6.613594611145132,0.0
23,0,24,0.17188271604938274,0.11368179756405022,0.4374389484719381,3,17.453761896211166,17.453761896211166,17.453761896211166,0.0
24,0,25,0.7181481481481482,0.5442605604057387,0.5743619207382674,2,2.784940691077875,2.009848167873053,4.5331300729562045,0.0
25,0,26,0.4275213675213676,0.24914363091776015,0.33961270385537495,3,7.017193122750898,7.017193122750898,7.017193122750898,0.0
26,0,27,0.13471450617283953,0.06236206953380629,0.21429513488938143,5,37.11552780800732,37.11552780800732,37.11552780800732,0.0
27,0,28,0.6194444444444445,0.36098929729637474,0.33961270385537495,3,4.84304932735426,4.84304932735426,4.84304932735426,0.0
28,0,29,0.11727255779269205,0.148166799018065,1.5962797415614756,2,17.05428821238375,17.05428821238375,5.341885813730023,0.6867716935936921
29,0,30,0.2815694444444445,0.20127873121544937,0.511004499731943,2,7.103043456814481,6.185411099296761,8.340373806537222,0.0
30,0,31,0.2020795795795796,0.11776450024635218,0.33961270385537495,3,14.845636586543819,14.845636586543819,14.845636586543819,0.0
31,0,32,0.3485394265232975,0.19244297920575354,0.30485991106731425,4,11.476463480474072,11.476463480474072,11.476463480474072,0.0
32,0,33,0.1632655423280423,0.14421868231777116,0.7802862893984694,2,12.249982277224717,7.005137848772775,48.74915369583228,0.0
33,0,34,0.5183333333333334,0.16044154792267382,0.09581100803275923,11,21.221864951768485,21.221864951768485,21.221864951768485,0.0
34,0,35,0.5028888888888888,0.24968503307315149,0.24651363170205873,5,9.942554131683607,9.942554131683607,9.942554131683607,0.0
35,0,36,0.7825694444444444,0.3804658163319267,0.23636627559997786,5,6.389209335344751,6.389209335344751,6.389209335344751,0.0
36,0,37,0.40694444444444444,0.23715216167676634,0.33961270385537495,3,7.3720136518771335,7.3720136518771335,7.3720136518771335,0.0
37,0,38,0.4505401234567901,0.10385185423135014,0.05313266049427887,19,42.17160472683679,42.17160472683679,42.17160472683679,0.0
38,0,39,0.2719915254237288,0.16250862989612314,0.356978542612778,3,11.02975541361583,11.02975541361583,11.02975541361583,0.0
39,0,40,0.21305555555555547,0.13405276969062743,0.395882091965004,3,14.080834419817476,14.080834419817476,14.080834419817476,0.0
40,0,41,0.1456446319737459,0.25281221544552557,3.013055587664014,2,13.732054335929954,13.732054335929954,2.278758877226067,0.8340555009847515
41,0,42,0.29190277777777773,0.17011013590309207,0.33961270385537495,3,10.277394490174622,10.277394490174622,10.277394490174622,0.0
42,0,44,0.28255555555555556,0.15634903210851625,0.3061841411702759,4,14.156508061344867,14.156508061344867,14.156508061344867,0.0
