,hour,start_cell,end_cell,duration_hr
0,0,1,1,0.28847222222222224
1,0,1,8,0.10652777777777778
2,0,1,9,0.08513888888888889
3,0,1,14,0.0636111111111111
4,0,2,3,0.3611111111111111
5,0,5,2,0.19416666666666665
6,0,6,0,0.1597222222222222
7,0,7,1,0.24027777777777778
8,0,7,7,0.30722222222222223
9,0,8,1,0.5177777777777778
10,0,9,1,0.11733333333333333
11,0,9,8,0.13555555555555557
12,0,9,9,0.05444444444444444
13,0,9,11,0.2226388888888889
14,0,9,12,0.245
15,0,9,13,0.4925
16,0,11,11,0.05694444444444444
17,0,11,14,0.19712962962962965
18,0,12,11,0.3425
19,0,12,12,0.06875
20,0,14,5,0.23027777777777778
21,1,1,1,0.10361111111111111
22,1,1,8,0.06416666666666666
23,1,1,9,0.10138888888888889
24,1,1,11,0.1363888888888889
25,1,1,14,0.11555555555555555
26,1,2,2,0.08777777777777777
27,1,2,11,0.0875
28,1,3,11,0.19944444444444445
29,1,5,1,0.12222222222222222
30,1,8,1,0.6086111111111111
31,1,9,1,0.13847222222222222
32,1,9,8,0.21611111111111111
33,1,9,9,0.06888888888888889
34,1,9,11,0.1213888888888889
35,1,11,11,0.06638888888888889
36,1,11,14,0.09972222222222223
37,1,14,11,0.14833333333333334
38,1,14,14,0.05277777777777778
39,2,1,1,0.10972222222222222
40,2,1,8,0.285
41,2,1,9,0.1272222222222222
42,2,2,2,0.08888888888888889
43,2,9,1,0.14083333333333334
44,2,9,9,0.12375
45,2,9,11,0.28097222222222223
46,2,11,9,0.15416666666666667
47,2,12,11,0.16666666666666666
48,3,0,0,0.07700231481481482
49,3,0,1,0.20844907407407406
50,3,0,2,0.07903549382716053
51,3,0,4,0.2891666666666667
52,3,0,5,0.30319444444444443
53,3,0,6,0.13507936507936508
54,3,0,7,0.15304761904761904
55,3,0,8,0.25305555555555553
56,3,0,9,0.18524537037037042
57,3,0,10,0.1412482419127988
58,3,0,11,0.2314236111111111
59,3,0,12,0.14941223832528178
60,3,0,13,0.09138888888888888
61,3,0,14,0.28555555555555556
62,3,1,0,0.32104575163398685
63,3,1,1,0.08899098718490346
64,3,1,2,0.24886311569301256
65,3,1,3,0.36516203703703703
66,3,1,4,0.475
67,3,1,5,0.28694444444444445
68,3,1,6,0.34006172839506177
69,3,1,7,0.17403724747474747
70,3,1,8,0.13843599033816417
71,3,1,9,0.10775294847920545
72,3,1,10,0.3803801169590643
73,3,1,11,0.156468253968254
74,3,1,12,0.14702437106918242
75,3,1,13,0.3903703703703704
76,3,1,14,0.19322968490878933
77,3,2,0,0.13002912186379928
78,3,2,1,0.18188672438672443
79,3,2,2,0.08438303341902315
80,3,2,3,0.2850925925925926
81,3,2,4,0.3045833333333333
82,3,2,5,0.2558101851851852
83,3,2,6,0.14151340996168582
84,3,2,7,0.10298941798941802
85,3,2,8,0.30516339869281034
86,3,2,9,0.12013869409381325
87,3,2,10,0.2285037878787879
88,3,2,11,0.08968282111899137
89,3,2,12,0.09748765432098754
90,3,2,13,0.1908974358974359
91,3,2,14,0.30159420289855077
92,3,3,0,0.4247222222222222
93,3,3,1,0.15606006006006012
94,3,3,2,0.29100000000000004
95,3,3,3,0.09170194003527338
96,3,3,5,0.3947222222222222
97,3,3,7,0.2691666666666667
98,3,3,8,0.1188675213675214
99,3,3,9,0.18241935483870972
100,3,3,10,0.46805555555555556
101,3,3,11,0.2953611111111111
102,3,3,12,0.3425992063492064
103,3,3,14,0.11555555555555558
104,3,4,0,0.3586111111111111
105,3,4,1,0.41644444444444445
106,3,4,2,0.3375694444444445
107,3,4,4,0.07361111111111111
108,3,4,7,0.44277777777777777
109,3,4,9,0.43222222222222223
110,3,4,10,0.12791666666666668
111,3,4,12,0.2772222222222222
112,3,5,0,0.2487007168458781
113,3,5,1,0.2122615039281706
114,3,5,2,0.22208333333333333
115,3,5,3,0.21138888888888893
116,3,5,5,0.04928214731585518
117,3,5,6,0.186078431372549
118,3,5,7,0.3360555555555556
119,3,5,8,0.20839225589225588
120,3,5,9,0.21180227471566054
121,3,5,10,0.24823232323232328
122,3,5,11,0.10028560250391236
123,3,5,12,0.22857676224611723
124,3,5,13,0.24537037037037038
125,3,5,14,0.14291111111111113
126,3,6,0,0.07867361111111112
127,3,6,1,0.2270061728395062
128,3,6,2,0.1305128205128205
129,3,6,4,0.3080555555555556
130,3,6,5,0.22763888888888884
131,3,6,6,0.08396929824561405
132,3,6,7,0.2227314814814815
133,3,6,8,0.39805555555555555
134,3,6,9,0.22684178743961356
135,3,6,10,0.21927248677248676
136,3,6,11,0.19833333333333336
