,hour,start,end_cell,hourly_rate
0,0,1,3,0.0012853470437017
1,0,5,1,0.0025706940874034
2,0,5,11,0.0012853470437017
3,0,17,1,0.0012853470437017
4,0,21,14,0.0012853470437017
5,0,35,1,0.0012853470437017
6,0,45,8,0.0012853470437017
7,0,52,12,0.0012853470437017
8,0,68,1,0.0012853470437017
9,0,69,9,0.0012853470437017
10,0,94,1,0.0012853470437017
11,0,95,5,0.0012853470437017
12,0,102,1,0.0012853470437017
13,0,110,7,0.0012853470437017
14,0,116,14,0.0012853470437017
15,0,117,1,0.0012853470437017
16,0,122,9,0.0012853470437017
17,0,129,9,0.0012853470437017
18,0,130,0,0.0012853470437017
19,0,131,12,0.0012853470437017
20,0,134,2,0.0012853470437017
21,0,167,11,0.0012853470437017
22,0,174,8,0.0012853470437017
23,0,190,14,0.0012853470437017
24,0,196,11,0.0012853470437017
25,0,200,8,0.0012853470437017
26,0,233,11,0.0012853470437017
27,0,246,9,0.0012853470437017
28,0,248,14,0.0012853470437017
29,0,256,1,0.0012853470437017
30,0,256,8,0.0012853470437017
31,0,256,12,0.0012853470437017
32,0,256,13,0.0012853470437017
33,0,263,1,0.0012853470437017
34,0,282,11,0.0012853470437017
35,1,5,1,0.0012853470437017
36,1,11,8,0.0012853470437017
37,1,18,1,0.0012853470437017
38,1,62,1,0.0012853470437017
39,1,80,11,0.0012853470437017
40,1,92,11,0.0012853470437017
41,1,100,8,0.0012853470437017
42,1,117,1,0.0012853470437017
43,1,117,14,0.0012853470437017
44,1,129,1,0.0012853470437017
45,1,167,9,0.0012853470437017
46,1,167,11,0.0025706940874035
47,1,190,11,0.0012853470437017
48,1,197,14,0.0012853470437017
49,1,200,9,0.0012853470437017
50,1,223,11,0.0012853470437017
51,1,225,1,0.0012853470437017
52,1,244,2,0.0012853470437017
53,1,257,11,0.0012853470437017
54,1,258,14,0.0012853470437017
55,2,5,1,0.0012853470437017
56,2,22,9,0.0012853470437017
57,2,61,1,0.0012853470437017
58,2,117,1,0.0012853470437017
59,2,117,8,0.0012853470437017
60,2,140,9,0.0012853470437017
61,2,194,11,0.0012853470437017
62,2,200,9,0.0012853470437017
63,2,215,11,0.0025706940874035
64,2,244,2,0.0012853470437017
65,2,279,9,0.0012853470437017
66,3,0,0,0.0025706940874035
67,3,0,1,0.0064267352185086
68,3,0,2,0.007712082262210301
69,3,0,9,0.0269922879177375
70,3,0,12,0.0012853470437017
71,3,0,13,0.0012853470437017
72,3,1,0,0.005141388174807
73,3,1,1,0.0192802056555265
74,3,1,2,0.033419023136246
75,3,1,6,0.0012853470437017
76,3,1,7,0.0012853470437017
77,3,1,8,0.0012853470437017
78,3,1,9,0.0141388174807192
79,3,1,10,0.0012853470437017
80,3,1,12,0.011568123393315699
81,3,1,14,0.0012853470437017
82,3,2,1,0.024421593830333498
83,3,2,2,0.0089974293059122
84,3,2,5,0.0012853470437017
85,3,2,7,0.0025706940874035
86,3,2,8,0.0012853470437017
87,3,2,9,0.1041131105398443
88,3,2,11,0.0141388174807194
89,3,2,12,0.0809768637532126
90,3,2,14,0.0012853470437017
91,3,3,0,0.0012853470437017
92,3,3,1,0.0012853470437017
93,3,3,9,0.0064267352185088
94,3,3,12,0.0012853470437017
95,3,4,9,0.0012853470437017
96,3,5,1,0.010282776349614
97,3,5,2,0.0038560411311051
98,3,5,6,0.0012853470437017
99,3,5,8,0.0012853470437017
100,3,5,9,0.0308483290488424
101,3,5,11,0.0012853470437017
102,3,5,12,0.0038560411311051
103,3,5,14,0.0051413881748071
104,3,6,0,0.0012853470437017
105,3,6,1,0.19922879177377742
106,3,6,2,0.0912596401028268
107,3,6,3,0.0025706940874034
108,3,6,5,0.0012853470437017
109,3,6,7,0.0244215938303337
110,3,6,8,0.012853470437017601
111,3,6,9,0.1606683804627232
112,3,6,11,0.0231362467866318
113,3,6,12,0.007712082262210301
114,3,6,14,0.0128534704370173
115,3,7,1,0.0038560411311051
116,3,7,7,0.0025706940874035
117,3,7,8,0.0012853470437017
118,3,7,9,0.0205655526992281
119,3,7,11,0.0038560411311051
120,3,7,12,0.0025706940874034
121,3,7,13,0.0012853470437017
122,3,8,1,0.0051413881748068
123,3,8,2,0.0012853470437017
124,3,8,8,0.0038560411311051
125,3,8,9,0.0077120822622104
126,3,8,11,0.0012853470437017
127,3,8,12,0.0012853470437017
128,3,8,14,0.0012853470437017
129,3,9,1,0.006426735218508801
130,3,9,7,0.0025706940874034
131,3,9,8,0.0038560411311051
132,3,9,9,0.0025706940874034
133,3,9,12,0.0115681233933161
134,3,9,14,0.0012853470437017
135,3,10,0,0.0025706940874034
136,3,10,1,0.030848329048842
137,3,10,2,0.0025706940874034
138,3,10,5,0.0077120822622105
139,3,10,6,0.005141388174807
140,3,10,9,0.0359897172236489
141,3,10,10,0.0025706940874034
142,3,10,11,0.0128534704370176
143,3,10,12,0.0115681233933159
144,3,10,13,0.0012853470437017
145,3,10,14,0.0167095115681232
146,3,11,2,0.0012853470437017
147,3,11,8,0.0012853470437017
148,3,11,11,0.0012853470437017
149,3,11,12,0.0012853470437017
150,3,11,14,0.0012853470437017
151,3,12,1,0.0025706940874034
152,3,12,3,0.0012853470437017
153,3,12,8,0.0012853470437017
154,3,12,9,0.0038560411311051
155,3,12,11,0.0012853470437017
156,3,12,12,0.0012853470437017
157,3,12,14,0.0012853470437017
158,3,13,0,0.0038560411311051998
159,3,13,1,0.0038560411311051
160,3,13,2,0.017994858611824798
161,3,13,5,0.0025706940874034
162,3,13,6,0.0128534704370178
