,name,longitude,latitude,cell
0,7 JUNI PLASSEN,10.731271500000707,59.91505960002149,12
1,ADAMSTUEN,10.734457000001543,59.93279200000635,2
2,AHO,10.75046200000931,59.92526500001666,11
3,AKER BRYGGE,10.73003455685099,59.91118372187468,12
4,AKERSELVALLMENNINGEN,10.754884663590031,59.90725889890308,9
5,AKERSGATA,10.74288279999766,59.91419709999952,9
6,ALEXANDER KIELLANDS PLASS,10.75127527227647,59.92806345261659,11
7,ANKER HOSTEL,10.75815530000234,59.91727940000602,1
8,ANKER HOTEL,10.758155300002295,59.91727940000541,1
9,ANNETTE THOMMESSENS PLASS,10.760999799997563,59.91073929999903,1
10,ARENDALSGATA,10.754099999998038,59.93779999998075,11
11,ARKADEN NORD,10.748052700000631,59.912147200007816,9
12,ARKADEN SØR,10.747858300000397,59.91196910000573,9
13,ARKITEKT RIVERTZ PLASS,10.7494660000037,59.93493600002072,11
14,BADEBAKKEN,10.760359784513748,59.94558369759284,5
15,BAK NIELS TRESCHOWS HUS NORD,10.72301679876406,59.9427714212947,6
16,BAK NIELS TRESCHOWS HUS SØR,10.723770563469392,59.942460728615735,6
17,BANKPLASSEN,10.741868999996857,59.908454000013926,9
18,BENTSEBRUGATA,10.759169999998278,59.939229999966685,5
19,BERNT ANKERS GATE,10.753706799998705,59.914788700001274,1
20,BI NYDALEN,10.768576000001952,59.94923899998273,5
21,BIRKELUNDEN,10.760926000005806,59.92561129996116,1
22,BISKOP GUNNERUS' GATE,10.752291999997388,59.91233410000661,9
23,BISLETT STADION,10.73124629792713,59.92547865543206,2
24,BISLETTGATA,10.734690061096538,59.92379237217806,2
25,BJERREGAARDS GATE,10.746058000004806,59.9254879999959,11
26,BJERREGAARDSGATE ØST,10.74976392706619,59.92718648914582,11
27,BJØLSEN MØLLE,10.768772394923898,59.939224120338146,5
28,BJØLSEN STUDENTBY,10.760187307222832,59.943767691625446,5
29,BJØLSENDUMPA,10.766122116265281,59.94033196389317,5
30,BJØRVIKA,10.756180000006964,59.909006000020476,1
31,BLINDERN STUDENTHUS,10.726476594198832,59.93522114561723,6
32,BLINDERN STUDENTPARKERING,10.720811897394604,59.94090523656098,6
33,BOGSTADVEIEN,10.72462799999703,59.92473200005887,2
34,BORGENVEIEN,10.703833031254613,59.94274210647528,0
35,BOTANISK HAGE SØR,10.76944213269012,59.9153652353205,8
36,BOTANISK HAGE SØR VEST,10.766335975893263,59.9178191656622,1
37,BOTANISK HAGE VEST,10.768953805976933,59.9201010419518,14
38,BRISKEBY,10.71797800000056,59.92021799997671,7
39,BRUGATA,10.757296758376683,59.91365927600496,1
40,BRYN T BANE,10.814199000000288,59.90923799999696,3
41,BRYNSENG T BANE,10.814300227292911,59.90919078838026,3
42,BYGDØY ALLÉ,10.692320999998376,59.919001000001884,13
43,BØKKERVEIEN,10.796014699998842,59.92737470000863,3
44,CARL BERNERS PLASS NORD,10.77697099999939,59.92692900000546,14
45,CARL BERNERS PLASS SØR,10.775995999999392,59.92507000004903,14
46,CHR MICHELSENS GATE,10.77318499999831,59.92729200001942,14
47,COLBJØRNSENS GATE,10.716870494658293,59.91731005875139,7
48,COLLETTS GATE,10.746304964565304,59.93070173133826,11
49,COLOSSEUM KINO,10.711375283455402,59.92984693434118,0
50,DET TEOLOGISKE FAKULTET,10.726471999999557,59.935341999989234,6
51,DIAKONHJEMMET,10.705433299998901,59.936327699992376,0
52,DOKKVEIEN,10.727700099994205,59.91097400004583,12
53,DOMUS ATHLETICA,10.724626314653941,59.94621938175988,6
54,DRAMMENSVEIEN,10.691147000001353,59.920403799986154,13
55,DRONNINGENS GATE,10.747293102871657,59.91138978757977,9
56,DYVEKES BRU,10.768957899999808,59.9053230000025,8
57,DÆLENENGGATA,10.767551775609654,59.92873827586729,14
58,EDVARD STORMS GATE,10.736178999999558,59.91911099997804,2
59,ELGSLETTA,10.76172450254826,59.91564920880837,1
60,ELISENBERG,10.708840000002441,59.9195240000216,7
61,ENERHAUGEN,10.767579386406712,59.913202425627304,1
62,ENSJØ T BANE,10.78976049999618,59.913189100016496,3
63,ENSJØVEIEN,10.78332726615913,59.91664957134289,8
64,FAGERHEIMGATA,10.765887943272793,59.927548765317354,14
