Unnamed: 0,name,start_station_id,longitude,latitude,cell,capacity
0,7 JUNI PLASSEN,623,10.7312715000007,59.9150596000215,3,20
1,ADAMSTUEN,425,10.7344570000015,59.9327920000064,7,20
3,AKER BRYGGE,1755,10.730034556851,59.9111837218747,3,20
11,ARKADEN NORD,577,10.7480527000006,59.9121472000078,6,20
12,ARKADEN SØR,545,10.7478583000004,59.9119691000057,6,20
14,BADEBAKKEN,592,10.7603597845137,59.9455836975928,9,20
18,BENTSEBRUGATA,380,10.7591699999983,59.9392299999667,9,20
28,BJØLSEN STUDENTBY,394,10.7601873072228,59.9437676916254,9,20
49,COLOSSEUM KINO,378,10.7113752834554,59.9298469343412,0,20
52,DOKKVEIEN,558,10.7277000999942,59.9109740000458,3,20
55,DRONNINGENS GATE,576,10.7472931028717,59.9113897875798,6,20
70,FREDENSBORG,597,10.7503579999945,59.9209950000364,1,20
71,FRIGGFELTET,529,10.7114660999989,59.9327725999894,0,20
82,GALGEBERG,583,10.7791785586515,59.9070833078296,8,20
90,GRÜNERHAGEN NORD,542,10.7554273999995,59.9224256000016,1,20
96,HASLE,742,10.7928499999986,59.9243420000122,2,20
97,HASLE TORG,411,10.7928471876248,59.9232358879195,2,20
108,HOFFSVEIEN,559,10.6760339000022,59.9238980000071,4,20
115,IDIOTEN,596,10.7360241776107,59.9310427715217,7,20
122,JESS CARLSENS GATE,521,10.7523939000057,59.9186358999748,1,20
124,JORDALGATA,581,10.7810879999959,59.9082269999906,8,20
129,KIRKERISTEN,396,10.7467315341782,59.9130119095512,6,20
132,KLINGENBERGGATA,2280,10.7322812916998,59.9131505340701,3,20
137,KVÆRNERVEIEN,1919,10.7785921322961,59.905910834884,8,20
146,LINAAES GATE,549,10.7457035414085,59.9138267621783,6,20
147,LINDERN,434,10.7350062000025,59.9358882999747,7,20
148,LODALEN BUSSTOPP,738,10.7779580000014,59.903452800004,8,20
150,LØRENVEIEN,402,10.7917407238475,59.9309019089449,2,20
152,MAJORSTUA SKOLE,590,10.7136815999985,59.92943509999,0,20
153,MAJORSTUEN,413,10.716926000007,59.9290450000739,0,20
154,MAJORSTUEN T BANE,508,10.7146301505186,59.9298165151465,0,20
155,MAJORSTUVEIEN,473,10.7161949999959,59.9266970000141,0,20
162,MUNKEDAMSVEIEN,615,10.7301061000024,59.9135227000027,3,20
165,MYRALØKKA ØST,525,10.7605813000048,59.9372050000127,9,20
167,MØLLERGATA,477,10.7485318262864,59.9154009865089,6,20
169,NORDRE GATE,585,10.754745265358,59.9211768883777,1,20
174,OLAF RYES PLASS,551,10.7581820000119,59.9224249999971,1,20
176,OLAV VS GATE,515,10.7321210000005,59.9129179999991,3,20
191,ROLF WICKSTRØMS VEI,601,10.7577241000016,59.9534114000056,5,20
194,RÅDHUSBRYGGE 4,494,10.7303766000114,59.9108469000755,3,20
198,SAGA KINO,390,10.7328035876141,59.9141616152612,3,20
209,SJØLYST,445,10.6766599999983,59.9216729999882,4,20
216,SKIPPERGATA,547,10.7481975999995,59.9112226999999,6,20
218,SKRÅNINGA,553,10.7474666999995,59.9139785999604,6,20
219,SKØYEN,572,10.6796401477286,59.9222602992885,4,20
220,SKØYEN STASJON,627,10.6787169448585,59.9226990058116,4,20
221,SLEMDALSVEIEN,386,10.7147779999971,59.9305960000151,0,20
238,STENSGATA,382,10.7328390000022,59.9296034263734,7,20
256,TIEDEMANNSPARKEN,2340,10.7935394579026,59.9202469704875,2,20
264,TÅSEN SENTER,554,10.7511649999975,59.9526589999845,5,20
270,ULLEVÅL SYKEHUS,502,10.7364515999957,59.9360307000418,7,20
277,VALKYRIEPLASSEN,459,10.7184199999995,59.9281319000043,0,20
281,VIA VIKA,2329,10.7271708270872,59.9127128601449,3,20
285,VULKAN,442,10.7510100000061,59.9225099999586,1,20
