hour,start_cell,end_cell,mean,std,scv,scv_real,n,lambda,mu1,mu2,phi1
3,0,3,0.1183333333333333,0.0548751612992252,0.5380382241329967,0.2150489978063396,2,16.901408450704224,42.25352112676056,42.25352112676056,0.0
3,0,4,0.1180555555555555,0.054746346366598,1.0911939240088535,0.2150489978063396,2,16.941176470588236,42.35294117647059,42.35294117647059,0.0
3,1,1,0.0191666666666666,0.0088882303512829,4.548686863957063,0.2150489978063396,2,104.34782608695652,260.8695652173913,260.8695652173913,0.0
3,1,3,0.1366493055555555,0.0313978959135537,0.2369948661934037,0.0527942023757577,5,36.59001397535256,139.04205310633975,139.04205310633975,0.0
3,1,4,0.3670833333333333,0.170228933466963,0.2669244030398396,0.2150489978063396,4,10.896708286038592,13.62088535754824,13.62088535754824,0.0
3,1,6,0.10875,0.0504310461235838,2.6126317926737954,0.2150489978063396,2,18.39080459770115,45.97701149425287,45.97701149425287,0.0
3,2,3,0.2961111111111111,0.1373167181806905,0.2016963978029636,0.2150489978063395,5,16.885553470919326,16.885553470919326,16.885553470919326,0.0
3,3,6,0.1169444444444444,0.0542310866360888,0.9187584880181076,0.2150489978063396,2,17.102137767220903,42.75534441805225,42.75534441805225,0.0
3,3,8,0.3177777777777777,0.1473642829256191,0.1781401759615221,0.2150489978063396,6,18.88111888111888,15.734265734265737,15.734265734265737,0.0
3,6,1,0.1194444444444444,0.0553904210297344,0.6260199631319178,0.2150489978063396,2,16.744186046511626,41.860465116279066,41.860465116279066,0.0
3,7,3,0.1472222222222222,0.0329983164553722,0.278434913744799,0.0502385190459237,4,27.169811320754715,135.8490566037736,135.8490566037736,0.0
3,7,4,0.2572222222222222,0.11928262761287,0.2403199068699376,0.2150489978063396,5,19.43844492440605,19.43844492440605,19.43844492440605,0.0
3,7,7,0.0230555555555555,0.010691639408065,2.2586537079414586,0.2150489978063395,2,86.74698795180723,216.86746987951807,216.86746987951807,0.0
3,8,1,0.1644444444444444,0.0762584401153553,0.1938548404768453,0.2150489978063396,6,36.48648648648648,30.405405405405403,30.405405405405403,0.0
3,9,0,0.2094444444444444,0.0971264592009762,0.1781705755435594,0.2150489978063396,6,28.647214854111407,23.87267904509284,23.87267904509284,0.0
3,9,1,0.1827777777777778,0.0847602256687564,1.8349900792998703,0.2150489978063395,2,10.94224924012158,27.35562310030395,27.35562310030395,0.0
3,9,3,0.2180902777777778,0.1011358239790006,0.2289103017575295,0.2150489978063396,5,22.926285623308384,22.926285623308384,22.926285623308384,0.0
3,9,6,0.1695833333333333,0.0426228254215224,0.2662650149029635,0.0631710558000484,4,23.587223587223587,94.34889434889436,94.34889434889436,0.0
3,9,7,0.1625,0.0753567355869643,0.2652893971301127,0.2150489978063396,4,24.615384615384613,30.769230769230766,30.769230769230766,0.0
4,0,0,0.3244444444444444,0.516020429182153,2.606309026269561,2.5296073078907866,2,6.164383561643836,6.164383561643836,1.2184467412026423,0.8023408619826825
4,0,1,0.2304166666666666,0.1068519866143365,0.2082271915165068,0.2150489978063396,5,21.6998191681736,21.6998191681736,21.6998191681736,0.0
4,0,3,0.1284444444444444,0.0426769193410729,0.5380382241329967,0.1103965432346355,2,15.570934256055365,77.85467128027682,77.85467128027682,0.0
4,0,4,0.1361111111111111,0.034144452278506,1.0911939240088535,0.0629293349993058,2,14.69387755102041,117.55102040816328,117.55102040816328,0.0
4,0,6,0.1430555555555555,0.066339690303054,0.4403814099388325,0.2150489978063396,3,20.97087378640777,34.95145631067961,34.95145631067961,0.0
4,0,7,0.1426388888888889,0.0363374318109753,0.616434641723834,0.0648981871172595,2,14.021421616358325,112.1713729308666,112.1713729308666,0.0
