,start_cell,end_cell,mean,std,scv,n,lambda,mu1,mu2,phi1
0,0,0,1006.3758389261745,2039.2049870997025,4.105833801883384,2,0.0019873291097032343,0.0019873291097032343,0.00024201285361229524,0.8782220557075044
1,0,1,1055.421052631579,484.4801968774674,0.21071747532003604,5,0.004737445768712911,0.004737445768712911,0.004737445768712911,0.0
2,0,2,2518.0,1467.3972117184653,0.33961270385537495,3,0.0011914217633042098,0.0011914217633042098,0.0011914217633042098,0.0
3,0,3,1031.0,912.9408695255131,0.7840937073420379,2,0.0019398642095053346,0.0011061033400655972,0.007878647338685853,0.0
4,0,4,771.5619047619048,467.72092525288406,0.36747859491426127,3,0.0038882168514083985,0.0038882168514083985,0.0038882168514083985,0.0
5,0,5,1888.0,1100.2565272932734,0.33961270385537495,3,0.0015889830508474577,0.0015889830508474577,0.0015889830508474577,0.0
6,0,6,1191.780487804878,1601.6388249570364,1.806078548209073,2,0.0016781613900088,0.0016781613900088,0.0004645870445869818,0.7231571126871501
7,0,7,1073.2307692307693,2770.598523837126,6.664398629861431,2,0.001863532110091743,0.001863532110091743,0.00013981247323214895,0.9249744759025023
8,0,8,1591.75,445.6017467051343,0.07836895432574711,13,0.008167111669546097,0.008167111669546097,0.008167111669546097,0.0
9,0,9,964.3333333333334,561.9777778000424,0.33961270385537495,3,0.0031109574835810577,0.0031109574835810577,0.0031109574835810577,0.0
10,0,10,1317.5,767.7902408415719,0.33961270385537495,3,0.0022770398481973433,0.0022770398481973433,0.0022770398481973433,0.0
11,0,11,1595.4583333333333,551.5329197969223,0.11950111179423042,9,0.005641012248309003,0.005641012248309003,0.005641012248309003,0.0
12,0,12,779.36,358.53077515702034,0.2116297192025192,5,0.00641552042701704,0.00641552042701704,0.00641552042701704,0.0
13,0,13,1179.4545454545455,502.8150968746082,0.18174153870967563,6,0.005087097271466009,0.005087097271466009,0.005087097271466009,0.0
14,0,14,742.2424242424242,331.4982117507414,0.19946689747946794,6,0.008083612313219564,0.008083612313219564,0.008083612313219564,0.0
15,0,16,1674.0,975.5452471869384,0.33961270385537495,3,0.0017921146953405018,0.0017921146953405018,0.0017921146953405018,0.0
16,0,17,736.4411764705883,434.67997222453147,0.348387957831601,3,0.004073645113622748,0.004073645113622748,0.004073645113622748,0.0
17,0,18,864.78,678.8681694667615,0.6162538112052015,2,0.0023127269363306274,0.0015603439819259447,0.00446636586917128,0.0
18,0,19,1090.5625,635.5394645372195,0.33961270385537495,3,0.0027508739755859935,0.0027508739755859935,0.0027508739755859935,0.0
19,0,20,622.431654676259,437.3737673021255,0.4937670672972636,3,0.004819806283085601,0.004819806283085601,0.004819806283085601,0.0
20,0,21,810.675,227.95842935241618,0.07907109471723775,13,0.016036019366577236,0.016036019366577236,0.016036019366577236,0.0
