,name,start_station_id,longitude,latitude,start_level
0,7 JUNI PLASSEN,623,10.731271500000707,59.91505960002149,6
1,ADAMSTUEN,425,10.734457000001543,59.93279200000635,6
2,AHO,444,10.75046200000931,59.92526500001666,6
3,AKER BRYGGE,1755,10.73003455685099,59.91118372187468,6
4,AKERSELVALLMENNINGEN,2333,10.754884663590031,59.90725889890308,6
5,AKERSGATA,557,10.74288279999766,59.91419709999952,6
6,ALEXANDER KIELLANDS PLASS,421,10.75127527227647,59.92806345261659,6
7,ANKER HOSTEL,500,10.75815530000234,59.91727940000602,6
8,ANKER HOTEL,500,10.758155300002295,59.91727940000541,6
9,ANNETTE THOMMESSENS PLASS,574,10.760999799997563,59.91073929999903,6
10,ARENDALSGATA,472,10.754099999998038,59.93779999998075,6
11,ARKADEN NORD,577,10.748052700000631,59.912147200007816,6
12,ARKADEN SØR,545,10.747858300000397,59.91196910000573,6
13,ARKITEKT RIVERTZ PLASS,383,10.7494660000037,59.93493600002072,6
14,BADEBAKKEN,592,10.760359784513748,59.94558369759284,6
15,BAK NIELS TRESCHOWS HUS NORD,619,10.72301679876406,59.9427714212947,6
16,BAK NIELS TRESCHOWS HUS SØR,618,10.723770563469392,59.942460728615735,6
17,BANKPLASSEN,611,10.741868999996857,59.908454000013926,6
18,BENTSEBRUGATA,380,10.759169999998278,59.939229999966685,6
19,BERNT ANKERS GATE,538,10.753706799998705,59.914788700001274,0
20,BI NYDALEN,438,10.768576000001952,59.94923899998273,6
21,BIRKELUNDEN,424,10.760926000005806,59.92561129996116,6
22,BISKOP GUNNERUS' GATE,527,10.752291999997388,59.91233410000661,6
23,BISLETT STADION,446,10.73124629792713,59.92547865543206,6
24,BISLETTGATA,620,10.734690061096538,59.92379237217806,6
25,BJERREGAARDS GATE,499,10.746058000004806,59.9254879999959,6
26,BJERREGAARDSGATE ØST,617,10.74976392706619,59.92718648914582,6
27,BJØLSEN MØLLE,593,10.768772394923898,59.939224120338146,6
28,BJØLSEN STUDENTBY,394,10.760187307222832,59.943767691625446,6
29,BJØLSENDUMPA,420,10.766122116265281,59.94033196389317,6
30,BJØRVIKA,465,10.756180000006964,59.909006000020476,6
31,BLINDERN STUDENTHUS,486,10.726476594198832,59.93522114561723,6
32,BLINDERN STUDENTPARKERING,474,10.720811897394604,59.94090523656098,6
33,BOGSTADVEIEN,579,10.72462799999703,59.92473200005887,6
34,BORGENVEIEN,1009,10.703833031254613,59.94274210647528,6
35,BOTANISK HAGE SØR,460,10.76944213269012,59.9153652353205,6
36,BOTANISK HAGE SØR VEST,569,10.766335975893263,59.9178191656622,6
37,BOTANISK HAGE VEST,506,10.768953805976933,59.9201010419518,6
38,BRISKEBY,427,10.71797800000056,59.92021799997671,6
39,BRUGATA,491,10.757296758376683,59.91365927600496,6
40,BRYN T BANE,532,10.814199000000288,59.90923799999696,6
41,BRYNSENG T BANE,532,10.814300227292911,59.90919078838026,6
42,BYGDØY ALLÉ,746,10.692320999998376,59.919001000001884,6
43,BØKKERVEIEN,513,10.796014699998842,59.92737470000863,6
44,CARL BERNERS PLASS NORD,487,10.77697099999939,59.92692900000546,6
45,CARL BERNERS PLASS SØR,406,10.775995999999392,59.92507000004903,6
46,CHR MICHELSENS GATE,431,10.77318499999831,59.92729200001942,6
47,COLBJØRNSENS GATE,548,10.716870494658293,59.91731005875139,6
48,COLLETTS GATE,608,10.746304964565304,59.93070173133826,6
49,COLOSSEUM KINO,378,10.711375283455402,59.92984693434118,6
50,DET TEOLOGISKE FAKULTET,486,10.726471999999557,59.935341999989234,6
51,DIAKONHJEMMET,536,10.705433299998901,59.936327699992376,6
52,DOKKVEIEN,558,10.727700099994205,59.91097400004583,6
53,DOMUS ATHLETICA,2307,10.724626314653941,59.94621938175988,6
54,DRAMMENSVEIEN,626,10.691147000001353,59.920403799986154,6
55,DRONNINGENS GATE,576,10.747293102871657,59.91138978757977,6
56,DYVEKES BRU,600,10.768957899999808,59.9053230000025,6
57,DÆLENENGGATA,624,10.767551775609654,59.92873827586729,6
58,EDVARD STORMS GATE,476,10.736178999999558,59.91911099997804,6
59,ELGSLETTA,2339,10.76172450254826,59.91564920880837,6
60,ELISENBERG,450,10.708840000002441,59.9195240000216,6
61,ENERHAUGEN,970,10.767579386406712,59.913202425627304,6
62,ENSJØ T BANE,512,10.78976049999618,59.913189100016496,6
63,ENSJØVEIEN,612,10.78332726615913,59.91664957134289,6
64,FAGERHEIMGATA,503,10.765887943272793,59.927548765317354,6
65,FILIPSTADVEIEN,534,10.72087880000013,59.91022769997978,6
66,FINNMARKSGATA,516,10.775657999998824,59.92283900000564,6
67,FORSKNINGSVEIEN,567,10.713862039000134,59.94545804421759,6
68,FRAM GÅRDEN,435,10.71457700000454,59.915424000005885,6
69,FRED OLSENS GATE,609,10.749373700002348,59.91105059999974,6
70,FREDENSBORG,597,10.750357999994453,59.92099500003641,6
71,FRIGGFELTET,529,10.71146609999893,59.9327725999894,6
72,FROGNER PLASS,603,10.704540600006224,59.922539199982374,6
73,FROGNER STADION,453,10.710166701561617,59.92756204962564,6
74,FROGNER TENNISKLUBB,395,10.709832699998902,59.92618309999258,0
75,FROGNERBADET,405,10.708767000001107,59.92807999999089,6
76,FROGNERSTRANDA,456,10.705106100004441,59.91035580001186,6
77,FROGNERVEIEN,568,10.71287960000275,59.91708509998695,6
78,FRØEN T BANE,570,10.709698500000941,59.934735200002464,6
79,FURULUND,454,10.651118000000983,59.91980979999637,6
80,FYRSTIKKTORGET,543,10.798099208606429,59.91382043632172,6
81,FYSIKKBYGNINGEN,496,10.719525145052968,59.93795155123937,6
82,GALGEBERG,583,10.779178558651486,59.90708330782956,6
83,GAUSTAD T BANE,560,10.710392000000642,59.945955000002265,6
84,GEORG MORGENSTIERNES HUS,580,10.722975247651723,59.93902961398313,6
85,GIMLE KINO,426,10.708361586218986,59.917250355126065,6
86,GOETHE INSTITUT,492,10.760779799999964,59.91317919999797,0
87,GRENSEVEIEN,591,10.781671132800719,59.92463572049861,6
88,GRIFFENFELDTS GATE,555,10.751929899998473,59.93370259999496,6
89,GRØNLANDS TORG,381,10.762240000005658,59.912520000011625,6
90,GRÜNERHAGEN NORD,542,10.755427399999485,59.92242560000156,6
91,GUNERIUS,2308,10.75340575554934,59.914608453699586,6
92,HALLINGS GATE,578,10.738654999995322,59.92277700004011,6
93,HALLÉNPARKEN,744,10.76216899999599,59.931530199967085,6
94,HAMMERSBORG TORG,739,10.74918301158753,59.916527925273016,6
95,HANS NIELSEN HAUGES PLASS,393,10.774318999995295,59.93924400000729,6
96,HASLE,742,10.7928499999986,59.92434200001219,6
97,HASLE TORG,411,10.792847187624814,59.923235887919446,6
98,HASLELINJE,498,10.799231992659404,59.92763649997316,6
99,HAUSMANNS BRU,475,10.759871899996964,59.91465090002426,6
100,HAUSMANNS GATE,483,10.758327999998125,59.91545099998474,6
101,HEDMARKSGATA,2304,10.78388434595856,59.91178403655264,6
102,HELGA HELGESENS PLASS,480,10.766193900013585,59.91211090003402,6
103,HENRIK IBSENS GATE,511,10.722280299994457,59.915088000008,6
104,HENRIK WERGELANDS ALLÉ,584,10.720789400001264,59.92689419999596,6
105,HESSELBERGS GATE,2305,10.761265771390743,59.92774803110526,6
106,HIOA,400,10.735427999999958,59.91992699999433,6
107,HOFF TERRASSE HOLDEPLASS,566,10.675571400001441,59.92729409999545,0
108,HOFFSVEIEN,559,10.676033900002166,59.92389800000711,6
109,HOLBERGS PLASS,530,10.734305099997162,59.91930949998493,6
110,HUITFELDTS GATE,563,10.722900299996798,59.91268440003608,6
111,HUK,589,10.67509599999869,59.898126000010585,6
112,HUK 1,589,10.674403950323214,59.89853221724123,6
113,HUK 2,2347,10.674398461025774,59.89843428245909,6
114,HYDROPARKEN,748,10.715505000000118,59.914145000018486,6
115,IDIOTEN,596,10.736024177610703,59.931042771521724,6
116,ILA,433,10.748744999998042,59.93182800000029,6
117,JAKOB KIRKE,412,10.754897999995846,59.91786599997695,6
118,JARLSBORGVEIEN,602,10.675783300000495,59.930464500001975,6
119,JENNY BRAATENS PLASS,458,10.778370000006506,59.9283490000059,6
120,JENS BJELKES GATE,507,10.764158452337043,59.91917554491073,6
121,JERNBANETORGET,478,10.74992899999985,59.91190099996448,6
122,JESS CARLSENS GATE,521,10.752393900005746,59.91863589997476,6
123,JOHN COLLETTS PLASS,409,10.730035999996604,59.94039799998277,6
124,JORDALGATA,581,10.781087999995941,59.90822699999064,6
125,KAMPEN PARK ØST,594,10.782128999999307,59.91518200001713,6
126,KARENLYST ALLÉ,484,10.683813999995694,59.92033000002968,6
127,KARENSLYST ALLÉ,484,10.683814000000979,59.92032999999541,6
128,KIRKEGATA 15,787,10.743456971511481,59.91015615057436,6
129,KIRKERISTEN,396,10.746731534178197,59.91301190955124,6
130,KIRKEVEIEN,561,10.726323199341651,59.93349701970344,6
131,KJELD STUBS GATE,509,10.73559500000116,59.912711000004215,6
132,KLINGENBERGGATA,2280,10.73228129169978,59.91315053407009,6
133,KONTRASKJÆRET,414,10.738569999994512,59.910241999984585,6
134,KREBS' GATE,501,10.765412999998304,59.93599499998285,6
135,KROHGSTØTTEN HOSPITAL,2332,10.757376666842882,59.91629601075622,6
136,KVÆRNERBYEN,447,10.786167000008351,59.904472999994596,6
137,KVÆRNERVEIEN,1919,10.778592132296133,59.90591083488398,6
138,KØBENHAVNGATA BUSSTOPP,586,10.769131254108157,59.92946280764726,6
139,LAKKEGATA,440,10.76221349999864,59.91720880003902,6
140,LANDSTADS GATE,410,10.749675499994327,59.929005000029704,6
141,LANGKAIA,541,10.747997700001346,59.90805520000681,6
142,LEGEVAKTEN,2332,10.757376666842816,59.91629601075578,6
143,LILLE GRENSEN,526,10.74231010000192,59.91389729997278,6
144,LILLE SCHOUS PLASS,401,10.76062899999873,59.920258999999064,6
145,LILLEBORGBANEN,540,10.769110233571629,59.9336628392445,6
146,LINAAES GATE,549,10.745703541408474,59.91382676217827,6
147,LINDERN,434,10.7350062000025,59.935888299974714,6
148,LODALEN BUSSTOPP,738,10.777958000001444,59.90345280000404,6
149,LØRENPORTEN,2270,10.799817484162038,59.92879292051071,6
150,LØRENVEIEN,402,10.791740723847496,59.93090190894485,6
151,MAILUNDVEIEN,565,10.772820300000516,59.930918099999026,6
152,MAJORSTUA SKOLE,590,10.713681599998472,59.92943509998999,6
153,MAJORSTUEN,413,10.71692600000703,59.92904500007389,6
154,MAJORSTUEN T BANE,508,10.714630150518591,59.92981651514649,6
155,MAJORSTUVEIEN,473,10.716194999995915,59.92669700001408,6
156,MANDALLS GATE,522,10.76381470000352,59.91234689998114,6
157,MARCUS THRANES GATE,607,10.75859027482791,59.932767622880796,6
158,MARIENLYST,471,10.721764849123918,59.93244069009255,6
159,MARIENLYSTPARKEN,505,10.723477999999888,59.9321500000066,6
160,MELTZERS GATE,588,10.718434499998912,59.918014100005514,6
161,MONOLITTVEIEN,531,10.68113799999992,59.93594699999429,6
162,MUNKEDAMSVEIEN,615,10.730106100002374,59.91352270000274,6
163,MUNKEGATA,737,10.767800000001117,59.908255000004495,6
164,MUNKEGATA TRIKKESTOPP,737,10.76779999999573,59.90825499996454,6
165,MYRALØKKA ØST,525,10.760581300004754,59.93720500001265,6
166,MØLLEPARKEN,439,10.755969299994605,59.928392800022195,6
167,MØLLERGATA,477,10.748531826286374,59.915400986508935,0
168,NEDRE SLOTTSGATE,528,10.743669000002065,59.91324499999662,0
169,NORDRE GATE,585,10.754745265357982,59.92117688837766,6
170,NORSK FOLKEMUSEUM,418,10.6868430000025,59.907674000010616,6
171,NYBRUA HOLDEPLASS,2334,10.757428972016953,59.91654492608345,6
172,NYDALEN,482,10.766482999999507,59.95286800000448,6
173,NYLANDSVEIEN,734,10.762281200002802,59.91566029998233,0
174,OLAF RYES PLASS,551,10.758182000011915,59.922424999997055,6
175,OLAV KYRRES PLASS,428,10.69689530000093,59.91933370000056,6
176,OLAV VS GATE,515,10.73212100000054,59.91291799999908,0
177,OSCARS GATE,564,10.72723880000656,59.92242219997926,6
178,OSLO HANDELSGYMNASIUM,404,10.720201999997254,59.91430600002224,6
179,OSLO HOSPITAL,735,10.767339667502842,59.90318123217259,6
180,OSLO PLAZA,448,10.754466669519486,59.912183864280806,6
181,OSLOMET,400,10.735428000002573,59.91992699998422,6
182,OVER RÅDHUSGATA,571,10.740712900003135,59.9101207000139,6
183,PALÉHAVEN,599,10.750109999995384,59.91033100002526,6
184,PARKVEIEN,403,10.730475999997486,59.92176799997788,6
185,PILESTREDET,556,10.729624600001824,59.92622420001983,6
186,PILESTREDET 63,622,10.731362699997211,59.92388259999912,6
187,PILESTREDET STUDENTHUS,389,10.73428540000047,59.92055279998256,6
188,PROFESSOR ASCHEHOUGS PLASS,1023,10.740971000000563,59.914767200009166,6
189,RIDDERVOLDPLASS,587,10.719641400003804,59.91914210002125,0
190,RINGNES PARK,398,10.759560673987279,59.92844483374711,6
