,name,longitude,latitude
0,7 JUNI PLASSEN,10.731271500000707,59.91505960002149
1,ADAMSTUEN,10.734457000001543,59.93279200000635
2,AHO,10.75046200000931,59.92526500001666
3,AKER BRYGGE,10.73003455685099,59.91118372187468
4,AKERSELVALLMENNINGEN,10.754884663590031,59.90725889890308
5,AKERSGATA,10.74288279999766,59.91419709999952
6,ALEXANDER KIELLANDS PLASS,10.75127527227647,59.92806345261659
7,ANKER HOSTEL,10.75815530000234,59.91727940000602
8,ANKER HOTEL,10.758155300002295,59.91727940000541
9,ANNETTE THOMMESSENS PLASS,10.760999799997563,59.91073929999903
10,ARENDALSGATA,10.754099999998038,59.93779999998075
11,ARKADEN NORD,10.748052700000631,59.912147200007816
12,ARKADEN SØR,10.747858300000397,59.91196910000573
13,ARKITEKT RIVERTZ PLASS,10.7494660000037,59.93493600002072
14,BADEBAKKEN,10.760359784513748,59.94558369759284
15,BAK NIELS TRESCHOWS HUS NORD,10.72301679876406,59.9427714212947
16,BAK NIELS TRESCHOWS HUS SØR,10.723770563469392,59.942460728615735
17,BANKPLASSEN,10.741868999996857,59.908454000013926
18,BENTSEBRUGATA,10.759169999998278,59.939229999966685
19,BERNT ANKERS GATE,10.753706799998705,59.914788700001274
20,BI NYDALEN,10.768576000001952,59.94923899998273
21,BIRKELUNDEN,10.760926000005806,59.92561129996116
22,BISKOP GUNNERUS' GATE,10.752291999997388,59.91233410000661
23,BISLETT STADION,10.73124629792713,59.92547865543206
24,BISLETTGATA,10.734690061096538,59.92379237217806
25,BJERREGAARDS GATE,10.746058000004806,59.9254879999959
26,BJERREGAARDSGATE ØST,10.74976392706619,59.92718648914582
27,BJØLSEN MØLLE,10.768772394923898,59.939224120338146
28,BJØLSEN STUDENTBY,10.760187307222832,59.943767691625446
29,BJØLSENDUMPA,10.766122116265281,59.94033196389317
30,BJØRVIKA,10.756180000006964,59.909006000020476
31,BLINDERN STUDENTHUS,10.726476594198832,59.93522114561723
32,BLINDERN STUDENTPARKERING,10.720811897394604,59.94090523656098
33,BOGSTADVEIEN,10.72462799999703,59.92473200005887
34,BORGENVEIEN,10.703833031254613,59.94274210647528
35,BOTANISK HAGE SØR,10.76944213269012,59.9153652353205
36,BOTANISK HAGE SØR VEST,10.766335975893263,59.9178191656622
37,BOTANISK HAGE VEST,10.768953805976933,59.9201010419518
38,BRISKEBY,10.71797800000056,59.92021799997671
39,BRUGATA,10.757296758376683,59.91365927600496
40,BRYN T BANE,10.814199000000288,59.90923799999696
41,BRYNSENG T BANE,10.814300227292911,59.90919078838026
42,BYGDØY ALLÉ,10.692320999998376,59.919001000001884
43,BØKKERVEIEN,10.796014699998842,59.92737470000863
44,CARL BERNERS PLASS NORD,10.77697099999939,59.92692900000546
45,CARL BERNERS PLASS SØR,10.775995999999392,59.92507000004903
46,CHR MICHELSENS GATE,10.77318499999831,59.92729200001942
47,COLBJØRNSENS GATE,10.716870494658293,59.91731005875139
48,COLLETTS GATE,10.746304964565304,59.93070173133826
49,COLOSSEUM KINO,10.711375283455402,59.92984693434118
50,DET TEOLOGISKE FAKULTET,10.726471999999557,59.935341999989234
51,DIAKONHJEMMET,10.705433299998901,59.936327699992376
52,DOKKVEIEN,10.727700099994205,59.91097400004583
53,DOMUS ATHLETICA,10.724626314653941,59.94621938175988
54,DRAMMENSVEIEN,10.691147000001353,59.920403799986154
55,DRONNINGENS GATE,10.747293102871657,59.91138978757977
56,DYVEKES BRU,10.768957899999808,59.9053230000025
57,DÆLENENGGATA,10.767551775609654,59.92873827586729
58,EDVARD STORMS GATE,10.736178999999558,59.91911099997804
59,ELGSLETTA,10.76172450254826,59.91564920880837
60,ELISENBERG,10.708840000002441,59.9195240000216
61,ENERHAUGEN,10.767579386406712,59.913202425627304
62,ENSJØ T BANE,10.78976049999618,59.913189100016496
63,ENSJØVEIEN,10.78332726615913,59.91664957134289
64,FAGERHEIMGATA,10.765887943272793,59.927548765317354
65,FILIPSTADVEIEN,10.72087880000013,59.91022769997978
66,FINNMARKSGATA,10.775657999998824,59.92283900000564
67,FORSKNINGSVEIEN,10.713862039000134,59.94545804421759
68,FRAM GÅRDEN,10.71457700000454,59.915424000005885
69,FRED OLSENS GATE,10.749373700002348,59.91105059999974
70,FREDENSBORG,10.750357999994453,59.92099500003641
71,FRIGGFELTET,10.71146609999893,59.9327725999894
72,FROGNER PLASS,10.704540600006224,59.922539199982374
73,FROGNER STADION,10.710166701561617,59.92756204962564
74,FROGNER TENNISKLUBB,10.709832699998902,59.92618309999258
75,FROGNERBADET,10.708767000001107,59.92807999999089
76,FROGNERSTRANDA,10.705106100004441,59.91035580001186
77,FROGNERVEIEN,10.71287960000275,59.91708509998695
78,FRØEN T BANE,10.709698500000941,59.934735200002464
79,FURULUND,10.651118000000983,59.91980979999637
