output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum, min_tput, max_tput, opt_tput
2481,4,4.556023531734482,4,4,4,0.7875678730620734,0.7875678730620734,0.7875678730620734, 19.011662, 19.011662, 19.011662
2482,4,3.9763108154228317,7,7,4,1.8112132920401791,1.8112132920401791,3.539411738308674, 29.645389, 29.645389, 19.444655
2483,3,4.48847070787718,6,6,3,1.4346667527369164,1.4346667527369164,2.822801876368459, 28.365491, 28.365491, 16.288214
2484,2,1.9663202197266898,14,14,9,21.86607692382634,21.86607692382634,26.021353022459795, 49.39456, 49.39456, 43.718235
2485,2,0.18544522831822674,30,30,21,32.3909691504532,32.3909691504532,33.35183120531725, 37.954326, 37.954326, 37.246181
2486,4,0.6030571926652245,60,60,24,61.90210844008652,61.90210844008652,80.38658437603462, 98.08554, 98.08554, 94.859957
2488,3,3.5167146037825656,14,14,9,10.357652547044076,10.357652547044076,14.607155565956912, 59.591657, 59.591657, 46.257587
2489,4,2.077235356422168,16,16,8,6.100954297245309,6.100954297245309,12.703599148622654, 39.33672, 39.33672, 29.321482
2490,3,1.7235926109024295,22,22,12,15.757812560146547,15.757812560146547,24.259994669170847, 53.67685, 53.67685, 44.943106
2491,2,1.411798824780558,18,18,11,15.08670515394996,15.08670515394996,18.678667927413866, 40.499084, 40.499084, 34.208455
2492,3,0.1590688015316405,45,45,36,54.66556793107618,54.66556793107618,55.572145144860954, 61.823664, 61.823664, 61.298622
2493,4,1.7291327994587058,18,18,10,8.295736609743297,8.295736609743301,14.876590005412945, 39.420127, 39.420127, 32.167918
2494,3,1.7777977708250963,16,16,9,9.66022566679846,9.66022566679846,13.913852062574133, 38.10499, 38.10499, 29.914032
2495,3,0.8655458915187819,30,30,12,13.128360254436547,13.128360254436547,24.32966130177462, 39.094737, 39.094737, 34.716212
2496,4,1.8391595507807967,24,24,12,13.193651781260876,13.193651781260876,24.527494390630437, 57.333481, 57.333481, 46.597409
2497,4,3.63938049186771,10,10,6,6.010808081322892,6.0108080813228995,11.09763704879374, 42.404613, 42.404613, 32.93392
2498,3,1.5385244566885565,33,33,15,19.99010792927764,19.99010792927764,34.91161614967166, 70.761415, 70.761415, 57.989483
2499,2,0.6328751920277403,30,30,18,29.45389523916779,29.45389523916779,33.41292754350068, 48.440151, 48.440151, 44.804681
2500,4,3.195376639092456,7,7,4,2.3935625263528095,2.393562526352813,3.7106394436301784, 24.761199, 24.761199, 16.492146
