output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum, min_tput, max_tput, opt_tput
1650,2,1.9566509190072212,21,21,13,24.62839170084836,24.62839170084836,30.539674052906122, 65.718061, 65.718061, 55.976136
1651,2,0.4484803142720467,30,30,15,37.4247275718386,37.4247275718386,43.31969828591931, 50.879137, 50.879137, 50.046903
1652,3,2.057564159355498,21,21,12,20.299875653534542,20.299875653534542,28.713844087734035, 63.508723, 63.508723, 53.404614
1653,4,1.5550739840104382,24,24,10,11.210466383749477,11.210466383749477,27.46544515989562, 48.532242, 48.532242, 43.016185
1654,2,4.275503359923866,2,2,2,0.5620253801522672,0.5620253801522672,0.5620253801522672, 9.1130321, 9.1130321, 9.1130321
1655,2,2.609895289982842,14,14,9,16.028396940240206,16.028396940240206,19.367104390154424, 52.566931, 52.566931, 42.856162
1656,4,4.026424711140698,10,10,6,6.363246888593018,6.363246888593025,10.37085373315581, 46.627494, 46.627494, 34.529402
1657,3,1.9812793831270485,16,16,9,11.040266869967226,11.040266869967226,16.041616551856563, 42.740737, 42.740737, 33.873131
1658,2,3.267850508319782,10,10,7,8.987379916802183,8.987379916802183,10.244696441761526, 41.665885, 41.665885, 33.11965
1659,3,3.911393253392651,8,8,5,6.2975369728587935,6.2975369728587935,8.546729733036745, 37.588683, 37.588683, 28.103696
1660,2,4.754685367216261,2,2,2,-0.31841463443252316,-0.31841463443252316,-0.31841463443252316, 9.1909561, 9.1909561, 9.1909561
1661,3,4.876923286242719,8,8,5,4.475735710058245,4.475735710058245,6.406608568786407, 43.491122, 43.491122, 30.791225
1663,2,4.787504068583622,4,4,3,2.034400725665513,2.034400725665513,2.2906957942491353, 21.184417, 21.184417, 16.653208
1664,3,3.0016692599152717,9,9,5,6.647080660762555,6.647080660762555,9.696281700423642, 33.662104, 33.662104, 24.704628
1665,4,4.8386555203796195,4,4,4,-4.344715081518478,-4.344715081518478,-4.344715081518478, 15.009907, 15.009907, 15.009907
1666,4,2.989697273935819,12,12,6,5.4646897127701735,5.4646897127701735,11.502952356385089, 41.341057, 41.341057, 29.441136
1667,2,3.1181516781886307,12,12,9,13.953421861736437,13.953421861736437,15.721582896302332, 51.371242, 51.371242, 43.784948
1668,4,3.0970619510117463,13,13,8,11.155228636847298,11.155228636847298,17.05464639190603, 51.417034, 51.417034, 41.831142
1669,2,0.19510364291162985,30,30,18,53.402061712651104,53.402061712651104,55.282808427590666, 59.255171, 59.255171, 58.794674
1670,4,1.7484275022649876,22,22,10,11.873827950170273,11.873827950170273,25.204100977350127, 50.339233, 50.339233, 42.688376
1671,3,2.198732457646595,15,15,9,16.033458135301075,16.033458135301075,23.77349888118065, 49.014445, 49.014445, 43.562091
1672,4,1.8701769713735494,31,31,15,17.308051887419964,17.308051887419964,35.55856642939676, 75.283538, 75.283538, 63.611221
1673,3,2.2168896165572507,18,18,11,12.54356190196949,12.54356190196949,18.382281217870247, 52.447575, 52.447575, 42.768067
