,name,start_station_id,longitude,latitude,cell,capacity
88,GRIFFENFELDTS GATE,555,10.7519298999985,59.933702599995,7,15
89,GRØNLANDS TORG,381,10.7622400000057,59.9125200000116,6,14
90,GRÜNERHAGEN NORD,542,10.7554273999995,59.9224256000016,34,20
91,GUNERIUS,2308,10.7534057555493,59.9146084536996,11,12
92,HALLINGS GATE,578,10.7386549999953,59.9227770000401,38,24
93,HALLÉNPARKEN,744,10.762168999996,59.9315301999671,12,10
94,HAMMERSBORG TORG,739,10.7491830115875,59.916527925273,11,20
95,HANS NIELSEN HAUGES PLASS,393,10.7743189999953,59.9392440000073,16,21
96,HASLE,742,10.7928499999986,59.9243420000122,39,30
97,HASLE TORG,411,10.7928471876248,59.9232358879195,39,24
98,HASLELINJE,498,10.7992319926594,59.9276364999732,26,18
99,HAUSMANNS BRU,475,10.759871899997,59.9146509000243,6,24
100,HAUSMANNS GATE,483,10.7583279999981,59.9154509999847,5,21
101,HEDMARKSGATA,2304,10.7838843459586,59.9117840365526,31,18
102,HELGA HELGESENS PLASS,480,10.7661939000136,59.912110900034,20,25
103,HENRIK IBSENS GATE,511,10.7222802999945,59.915088000008,32,24
104,HENRIK WERGELANDS ALLÉ,584,10.7207894000013,59.926894199996,18,35
105,HESSELBERGS GATE,2305,10.7612657713907,59.9277480311053,12,15
106,HIOA,400,10.735428,59.9199269999943,14,25
107,HOFF TERRASSE HOLDEPLASS,566,10.6755714000014,59.9272940999955,36,22
108,HOFFSVEIEN,559,10.6760339000022,59.9238980000071,36,18
109,HOLBERGS PLASS,530,10.7343050999972,59.9193094999849,14,10
110,HUITFELDTS GATE,563,10.7229002999968,59.9126844000361,32,18
111,HUK,589,10.6750959999987,59.8981260000106,40,27
112,HUK 1,589,10.6744039503232,59.8985322172412,40,27
113,HUK 2,2347,10.6743984610258,59.8984342824591,40,29
114,HYDROPARKEN,748,10.7155050000001,59.9141450000185,23,30
115,IDIOTEN,596,10.7360241776107,59.9310427715217,1,18
116,ILA,433,10.748744999998,59.9318280000003,2,18
117,JAKOB KIRKE,412,10.7548979999958,59.9178659999769,5,9
118,JARLSBORGVEIEN,602,10.6757833000005,59.930464500002,36,18
119,JENNY BRAATENS PLASS,458,10.7783700000065,59.9283490000059,27,15
120,JENS BJELKES GATE,507,10.764158452337,59.9191755449107,21,20
121,JERNBANETORGET,478,10.7499289999999,59.9119009999645,33,15
122,JESS CARLSENS GATE,521,10.7523939000057,59.9186358999748,34,14
123,JOHN COLLETTS PLASS,409,10.7300359999966,59.9403979999828,17,25
124,JORDALGATA,581,10.7810879999959,59.9082269999906,37,24
125,KAMPEN PARK ØST,594,10.7821289999993,59.9151820000171,31,21
126,KARENLYST ALLÉ,484,10.6838139999957,59.9203300000297,36,34
127,KARENSLYST ALLÉ,484,10.683814000001,59.9203299999954,36,34
128,KIRKEGATA 15,787,10.7434569715115,59.9101561505744,4,12
129,KIRKERISTEN,396,10.7467315341782,59.9130119095512,8,24
130,KIRKEVEIEN,561,10.7263231993417,59.9334970197034,17,24
131,KJELD STUBS GATE,509,10.7355950000012,59.9127110000042,41,12
