,station,0
0,0,0.0045722766841256555
1,1,0.002258387996592184
2,2,0.007831681009428514
3,3,0.007036758196157635
4,4,0.0
5,5,0.00982142609742592
6,6,0.01310633325852134
7,7,0.0
8,8,0.0030120832445276833
9,9,0.003597801177458293
10,10,0.002781496486445264
11,11,0.005989809254651243
12,12,0.0032508775086259444
13,13,0.0021451230598022782
14,14,0.001621556889519791
15,15,0.0007916595395434308
16,16,0.001173439034752572
17,17,0.0038025399085478014
18,18,0.0041570025410165405
19,19,0.0
20,20,0.0034423191697197553
21,21,0.007862441029154638
22,22,0.0027292827439120743
23,23,0.008040036736643873
24,24,0.007447526745104382
25,25,0.005810582712221449
26,26,0.0030077534402892154
27,27,0.0011535644279515153
28,28,0.003565270251892069
29,29,0.001937496585823245
30,30,0.00935780580332632
31,31,0.0
32,32,0.0013932757100611362
33,33,0.007473085667082572
34,34,0.001074816635239203
35,35,0.008343295304518293
36,36,0.0028412267922671907
37,37,0.002623448710301514
38,38,0.002830069435682619
39,39,0.0035046944221276363
40,40,0.0
41,41,0.0011041989163056622
42,42,0.0012007744695556033
43,43,0.0008676809559192578
44,44,0.0031749601795326853
45,45,0.005813866050696999
46,46,0.0038676104706399602
47,47,0.0029247028886270595
48,48,0.0013013596098402213
49,49,0.0035889947603955376
50,50,0.0017281115271953911
51,51,0.0008575098586307278
52,52,0.004167914313396699
53,53,0.0012870898528462619
54,54,0.002523617442589384
55,55,0.0010672955430162043
56,56,0.0029659290945410377
57,57,0.003613262004331003
58,58,0.0035000472237594893
59,59,0.0
60,60,0.005192943157893687
61,61,0.0021291496458363435
62,62,0.0022461341052537223
63,63,0.0008786306944642063
64,64,0.0045802691929126066
65,65,0.007556017650635312
66,66,0.0022025854096406053
67,67,0.001477596026024368
68,68,0.003580011989068085
69,69,0.004856016689074092
70,70,0.003995847450042384
71,71,0.0022699567787723847
72,72,0.007255661503810035
73,73,0.0038470973365911936
74,74,0.0
75,75,0.0021208892084249153
76,76,0.006238087406403911
77,77,0.002488107067045209
78,78,0.000824193918139598
79,79,0.0015239459996492187
80,80,0.0018789027582660582
81,81,0.0012422881819916325
82,82,0.004134273192924077
83,83,0.0003208559375993962
84,84,0.0020145523206395607
85,85,0.003348742955873676
86,86,0.0
87,87,0.0006472126452221591
88,88,0.002423129542269342
89,89,0.006658245099916422
90,90,0.004472361444374449
91,91,0.000614289176577481
92,92,0.002885888957585475
93,93,0.003367823881436831
94,94,0.003561994170311622
95,95,0.0024183375006814546
96,96,0.0008971122716604082
97,97,0.0026229311724224984
98,98,0.0002683253003003817
99,99,0.0030548291766382264
100,100,0.0036351485509917075
101,101,0.0014834801461434716
102,102,0.012026311916925481
103,103,0.004075682705661725
104,104,0.0019474101313737497
105,105,0.0016567802737462666
106,106,0.0
107,107,0.00020209904708172805
108,108,0.004580130175451173
109,109,0.0033729243532216666
110,110,0.0040009696554985435
111,111,0.009287834070744159
112,112,0.0
113,113,0.0
114,114,0.0031047203776634912
115,115,0.0016018748526600607
116,116,0.0018308891377424137
117,117,0.005824403180615236
118,118,0.0011967771462465654
119,119,0.0024315351577633496
120,120,0.007168296085183466
121,121,0.008862908141225128
122,122,0.00550402336905548
123,123,0.001140485371491914
124,124,0.003320441518480497
125,125,0.0007195027392353167
126,126,0.005600183188603725
127,127,0.004746137663479723
128,128,0.0032920859402604244
129,129,0.013406621873935902
130,130,0.0013351381411316322
131,131,0.001023728493233775
132,132,0.0016881401534626292
133,133,0.00335971686101902
134,134,0.002629853314484222
135,135,0.0
136,136,0.007798149909167462
137,137,0.00021458449145988673
138,138,0.002177204454998876
139,139,0.006613939983813491
140,140,0.0030388542175930136
141,141,0.002143690272291358
142,142,0.0
143,143,0.004533831107217424
144,144,0.0026515507030068974
145,145,0.003444015894823317
146,146,0.004484896835763048
147,147,0.0011326617493471823
148,148,0.0015915823768848387
149,149,0.0008026453639643913
150,150,0.0017214874546016717
151,151,0.0006410080985155223
152,152,0.004387850276721987
153,153,0.010065984278376522
154,154,0.0017508644420855311
155,155,0.0034483868173340146
156,156,0.003164495680593725
157,157,0.007273287121664123
158,158,0.002298619689829164
159,159,0.0026986171400649136
160,160,0.0013069741194838159
161,161,0.001667338245625858
162,162,0.0014658805034732133
163,163,0.002994091018954207
164,164,0.004092513551938536
165,165,0.0038535931701266448
166,166,0.0037423415368824657
167,167,0.0031062214158998854
168,168,0.0
169,169,0.005216948358843905
170,170,0.0029431221261307008
171,171,0.0
172,172,0.000895092122235249
173,173,0.0008433262434484378
174,174,0.016005083079983207
175,175,0.0018586659715198383
176,176,0.0
177,177,0.006909654666065769
178,178,0.003985629405790897
179,179,0.007033249301851462
180,180,0.0026096627096644305
181,181,0.003982211460011514
182,182,0.000946294515665551
183,183,0.00851637965884915
184,184,0.004589120937215636
185,185,0.0028420689564578887
186,186,0.0028560634217413084
187,187,0.0020310910510311685
188,188,0.0036816316714774326
189,189,0.0025393496937122896
190,190,0.013788966865018383
191,191,0.0007114906098931909
192,192,0.0013456195731041429
193,193,0.002071756238162619
194,194,0.0
195,195,0.0
196,196,0.015678731915445516
197,197,0.004043459774514544
198,198,0.007856565903818386
199,199,0.0032305309984847954
200,200,0.0013237166900813239
201,201,0.002429372044140849
202,202,0.0
203,203,0.008285337168694354
204,204,0.004063343542678136
205,205,0.006211899036793481
206,206,0.001718778421505251
207,207,0.0012917703550416805
208,208,0.0034117941392380192
209,209,0.0024673301448720174
210,210,0.008224056776905794
211,211,0.014469170636255076
212,212,0.0
213,213,0.0
214,214,0.0015358548848275195
