output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum
4819,3,3.3782374590901165,17,17,10,17.22802719546801,17.228027195468016,24.780219409098837
4820,4,1.8262867056739225,18,18,9,9.542986297869398,9.542986297869398,19.1081616489347
4822,2,3.3954425011383056,16,16,11,19.43571398178711,19.43571398178711,22.289713487478636
4823,4,1.6619409717174811,32,32,15,16.62041790504061,16.62041790504061,31.444813424237786
4824,2,3.1711530552044893,9,9,6,8.996751503159597,8.996751503159597,10.121439668773068
4825,2,4.24571745352735,6,6,5,6.220130278835899,6.220130278835899,6.57206073236325
4827,4,3.7515172125789595,12,12,7,4.8020784490524875,4.8020784490524875,9.511838511947285
4828,4,3.811151938755837,8,8,5,2.4777884899533085,2.4777884899533085,4.092990306220814
4829,2,1.0408318058138744,26,26,14,24.195131048839265,24.195131048839265,31.915492718605762
4830,4,0.4716545395901861,60,60,20,23.614043624588835,23.614043624588835,39.02833020819628
4831,2,3.0946585566875697,12,12,9,13.917673319749163,13.917673319749163,15.796789989811874
4832,2,1.8988798167948011,14,14,9,18.067135564872782,18.067135564872782,21.880914648846794
4833,3,2.671998949316188,10,10,6,7.66728250683812,7.66728250683812,10.033961304102872
4834,2,2.677575201501736,16,16,11,18.95026177597223,18.95026177597223,22.480878783480915
4835,4,3.845396958297963,16,16,9,10.92897066723259,10.92897066723259,21.63042537531834
4836,3,4.004863652530736,8,8,5,6.037881779754109,6.037881779754116,8.46930673734632
4837,2,4.580977731589711,2,2,2,-0.41868246317942237,-0.41868246317942237,-0.41868246317942237
4838,3,3.391631685764968,9,9,6,7.076846828115286,7.076846828115286,8.697513885410194
4839,2,1.3753738143451404,22,22,13,20.61149108440691,20.61149108440691,25.830530413513173
4840,4,2.8154297229869174,36,36,18,28.397979972470964,28.397979972470964,53.5917249862355
4841,2,1.123938013466475,24,24,13,24.992649676804604,24.992649676804604,33.71713382493583
4842,2,3.432929572509922,7,7,5,6.4832249924305465,6.4832249924305465,7.158729137450393
4843,2,1.669305464367118,17,17,11,15.596228105758996,15.596228105758996,18.982745891961706
4845,3,2.4564641515491408,11,11,7,7.799195332959453,7.799195332959453,10.997117939156016
4847,3,0.9424069292973519,30,30,14,15.298391121079447,15.298391121079447,26.496615989837082
4849,3,4.020664045239878,14,14,9,10.822082366641716,10.822082366641716,15.059887592841106
4851,2,1.519219636832867,30,30,21,58.34758089501399,58.34758089501399,64.02872362650982
4852,3,0.1054184820785109,45,45,40,87.741119306467,87.741119306467,88.26821171685957
4854,2,4.054142648287612,14,14,10,20.837621923973437,20.837621923973437,24.42669251712389
4855,3,3.7288582795672194,3,3,3,-0.37141483870165715,-0.37141483870165715,-0.37141483870165715
4856,3,3.19641311646006,14,14,8,7.290509369559153,7.290509369559153,10.959981068319525
4857,3,0.8371367406330421,33,33,14,12.947052559109608,12.947052559109608,23.021959631137417
4858,3,4.001818182322784,6,6,4,3.507841906063298,3.507841906063298,4.131204270708867
4859,3,0.7222626466872284,42,42,15,15.455780839136413,15.455780839136413,31.39292929969158
4860,2,2.712393660226385,12,12,8,10.564484077283382,10.564484077283382,13.027532718188919
4861,2,0.48921376127662786,30,30,21,47.88504116170116,47.88504116170116,49.69049601319082
4862,3,2.848697591436642,11,11,7,8.61092149419694,8.610921494196944,12.900469859943504
4863,3,3.986899321901366,6,6,4,1.9809790685918003,1.9809790685918003,3.243955712394534
4864,2,1.4775736479525015,16,16,10,19.324472632759978,19.324472632759978,24.417814520474987
4865,2,2.405062404074058,11,11,8,14.371036555185363,14.371036555185363,16.552753767407538
4866,3,2.800272678438125,10,10,6,5.922826215618752,5.922826215618755,7.9860859293712485
4867,4,4.18777009435867,10,10,6,5.5326850564133,5.532685056413307,8.797157433847982
4868,2,0.1819161656153634,30,30,26,36.7684150315391,36.7684150315391,36.98082269400055
4869,2,3.3871321280229165,14,14,10,16.53287720767917,16.53287720767917,19.492868719770836
4870,4,4.9472428628186735,4,4,4,-3.223318451274693,-3.223318451274693,-3.223318451274693
4872,3,0.06585095239556082,45,45,27,62.62197714219975,62.62197714219975,63.66986428531986
4873,2,3.1541693784277247,18,18,12,24.13831818830095,24.13831818830095,29.656992458867304
4874,4,3.2409446046589148,23,23,12,13.145924092844965,13.145924092844965,23.14790974409303
4875,2,4.606779082760176,3,3,2,1.5120997517194734,1.5120997517194734,1.6145618344796482
4876,2,2.06122985268804,10,10,7,10.2128484731196,10.2128484731196,11.430893031183718
4878,4,4.209915789706548,8,8,4,2.3094246823476183,2.3094246823476183,5.50908184117381
4879,4,3.7962564576005153,10,10,6,5.030923423994842,5.0309234239948495,8.647830254396908
4880,2,3.201899244507303,8,8,5,5.439390043941575,5.439390043941575,6.878789777463488
4881,2,4.460272781692527,22,22,15,32.58170880276438,32.58170880276438,38.9144082746121
4882,2,3.577711550515106,9,9,6,8.147234045364044,8.147234045364044,9.50915869690937
4884,3,2.9873287213937596,12,12,7,8.537832343274879,8.537832343274879,12.261763950243687
4885,3,2.4924359969481333,21,21,12,12.659226064089196,12.659226064089196,19.539559036622403
4886,3,4.808185262441489,8,8,5,3.295668900468087,3.295668900468087,5.247246687792555
4887,3,3.0505232581914066,9,9,5,5.636398676277338,5.636398676277338,8.332890709042967
4888,4,4.105661097182405,9,9,5,5.653454125358358,5.6534541253583654,8.738721514087974
4889,2,3.2831024538352436,12,12,8,16.83069255397708,16.83069255397708,19.006560369318056
4890,4,3.3845221401090066,11,11,6,5.578259458800922,5.578259458800929,9.80558415934596
4891,2,3.783255232007574,4,4,3,1.5041020719697027,1.5041020719697027,1.6411003039772791
4892,4,4.186633914290146,6,6,4,2.8628045142591176,2.862804514259121,3.9154363428394134
4893,4,4.799621975562728,6,6,4,2.6299041466236304,2.629904146623634,4.13257209774909
4894,4,3.837024272918036,18,18,10,14.561158087475349,14.561158087475349,23.71424127081965
4895,3,1.2226146947145133,25,25,12,15.33390763213717,15.33390763213717,26.140733663425838
4896,3,0.6170193684039277,45,45,13,15.066112421823249,15.066112421823249,33.02187421074895
4897,2,3.526073032529507,7,7,5,3.2656657722934526,3.2656657722934526,3.7670098373524654
4898,2,1.0764451949217362,30,30,25,42.31616915234792,42.31616915234792,43.13503812695659
4899,2,0.5540442639060011,30,30,18,21.596186082819965,21.596186082819965,24.59827424969199
