output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum
3673,4,2.4784389265528666,15,15,8,10.307061101707,10.307061101707006,18.52074858757707
3674,4,0.41874508013784784,60,60,19,16.28287019172913,16.28287019172913,29.628529477380894
3675,4,3.566869128727542,9,9,5,6.130634841452114,6.130634841452121,9.276729356362289
3676,3,1.1883643260343546,33,33,15,20.4702562408663,20.4702562408663,37.59332710948469
3678,2,1.9303273989178316,15,15,10,12.246901016232524,12.246901016232524,14.371239010821686
3679,4,2.058723027508558,14,14,8,5.953144614880184,5.953144614880188,10.875125779931535
3680,4,4.9771380843592175,6,6,4,2.4024704938446924,2.402470493844696,3.5368086625631285
3681,3,2.8265966190332126,16,16,10,13.679815095468598,13.679815095468598,19.144962809667874
3682,4,1.7149224702268757,34,34,15,18.84264401228623,18.84264401228623,42.450168946596875
3683,2,1.407781825571226,30,30,20,36.45511523286322,36.45511523286322,40.61288348857548
3684,3,1.5667783319826971,27,27,13,21.76913903646718,21.76913903646718,36.635379684224944
3685,2,4.938909661707373,6,6,5,7.650363029755766,7.650363029755766,8.051199691463134
3686,3,1.427570969669529,45,45,21,46.27070636487119,46.27070636487119,71.7170796369399
3687,4,3.6283513591804315,12,12,7,10.092497689834822,10.092497689834822,16.086356485736985
3688,2,2.2620816991566532,10,10,7,10.721121008433467,10.721121008433467,12.04263210590343
3689,3,2.9515004707209282,14,14,8,9.621275409907,9.621275409907007,14.362118234232579
3690,4,4.6748940112776625,10,10,6,3.8762828872233754,3.8762828872233754,6.932917932334025
3691,2,3.4817694799048624,28,28,19,37.83144456266385,37.83144456266385,43.87399988180762
3692,3,3.832319349025007,7,7,5,4.923353556824949,4.923353556824949,6.043584254874963
3693,3,0.968284137013154,42,42,20,21.330573245447532,21.330573245447532,34.79302225973692
3694,3,0.6749610605333517,45,45,15,14.639580275999172,14.639580275999172,31.14996109199973
3695,3,2.5576666222874627,14,14,8,13.358510287975527,13.358510287975527,19.550054021700298
3696,2,2.9251203528616703,9,9,6,9.22518182424497,9.22518182424497,10.976849882829981
3697,4,1.6047982918506882,25,25,11,13.3391047037328,13.3391047037328,30.53100178964243
3698,2,1.8929172823508544,16,16,10,14.31711448238633,14.31711448238633,18.155507176491454
3699,2,3.425442027398523,11,11,8,15.356722698616252,15.356722698616252,17.245616780811815
3700,4,0.44175531205147056,60,60,16,19.218778276911767,19.218778276911767,37.11690700717648
3701,3,1.313941686952913,45,45,27,55.44494408711891,55.44494408711891,68.56675445227137
3702,3,4.688178983172732,3,3,3,-0.18761894951819613,-0.18761894951819613,-0.1876189495181979
3703,2,0.5254203410739011,30,30,22,41.688899767782964,41.688899767782964,43.205703496374184
3704,3,4.001279176660803,6,6,4,3.090598940035182,3.090598940035182,3.715619293356788
3705,2,1.315817700106956,24,24,15,25.962181197433058,25.962181197433058,31.386529498395667
3707,2,0.0899839035612865,30,30,24,45.9521508931614,45.9521508931614,46.20743631452913
3708,3,1.6584435320687718,21,21,10,16.583640826555794,16.583640826555794,31.686432679312283
3709,2,3.208733001174063,6,6,5,5.408822992955624,5.408822992955624,5.844340994129684
3710,4,4.813844574511952,4,4,4,1.5495397019521917,1.5495397019521917,1.5495397019521917
3711,2,4.823939623597106,14,14,10,17.793936269640525,17.793936269640525,21.364102764028946
3712,3,1.7161104488378942,20,20,10,14.525669023242116,14.525669023242116,24.16730651162106
3713,4,0.3963931997973874,60,60,15,14.190662012156757,14.190662012156757,31.067686003039196
3715,2,2.7256418733082803,10,10,7,8.302681266917197,8.302681266917197,10.02152288684204
3716,4,4.646537037509292,8,8,4,1.8537286999256608,1.8537286999256608,4.259297849962831
3717,2,2.512565066119059,19,19,12,33.124939743737876,33.124939743737876,39.51898520657129
