output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum
2664,3,4.372518235137834,6,6,4,3.678847589172996,3.678847589172996,4.490769059448663
2665,4,2.240779330046495,18,18,10,12.278334059163093,12.278334059163093,22.649708699535054
2666,2,1.7738378065901927,20,20,13,22.37937586819615,22.37937586819615,26.7262935143275
2667,2,3.8335366952319228,10,10,7,9.916616047680776,9.916616047680776,11.890927133376543
2668,3,2.4761336065894057,15,15,9,11.050220901158916,11.050220901158916,17.59388354069535
2670,2,4.1405461970883835,9,9,6,8.29785122620455,8.29785122620455,9.550013817469697
2671,4,4.009880380843478,7,7,4,1.4281183340956503,1.4281183340956538,3.350663476626085
2672,4,0.26414728265528986,60,60,21,33.3231060406826,33.3231060406826,42.49710706423892
2673,2,4.926887258788636,2,2,2,-0.11205421757727052,-0.11205421757727052,-0.11205421757727052
2674,3,2.76515543324721,12,12,7,8.169244801033479,8.169244801033479,11.464160967269532
2675,4,1.3150090765076876,23,23,11,8.746586240323186,8.74658624032319,20.01423415841544
2676,3,3.5749515543215153,6,6,4,2.4535266740709076,2.4535266740709076,3.4800397827139378
2677,2,1.4016635424474093,16,16,9,19.63685432084145,19.63685432084145,26.64978211797332
2678,3,3.7935659593385322,6,6,4,3.574606243968809,3.574606243968809,4.2794121626458725
2679,2,0.6945004335968336,30,30,20,36.43505499209499,36.43505499209499,39.23858432806334
2680,4,1.4826236165049371,36,36,15,13.532149805822257,13.532149805822257,30.985000752425947
2681,3,2.253090398975485,11,11,6,3.575539611269665,3.575539611269665,5.498836606147089
2682,4,3.947734115229623,10,10,6,3.934093847703764,3.934093847703771,6.7122113086222654
2683,2,0.1525667719616014,30,30,21,51.38838584115196,51.38838584115196,52.232686788806376
2684,3,3.1586977375084677,8,8,5,4.393967099932258,4.393967099932258,6.458030312457659
2685,4,1.7380411489874947,17,17,9,6.521106467212583,6.52110646721259,11.73183165911255
2686,4,3.8125753793839334,10,10,6,3.7090212061606636,3.7090212061606636,6.2376547236964
2687,3,0.7422670583139179,37,37,14,13.632632842385036,13.632632842385036,25.78535118360515
2688,4,4.101859584465862,6,6,4,1.6675294932048281,1.6675294932048317,2.7030116621365536
2689,4,2.5924701661957608,17,17,9,13.703205174672071,13.703205174672078,24.041281504238164
2690,4,2.7359797799566,25,25,13,15.936055501084994,15.936055501084994,27.303993860564198
2691,3,2.811332202176837,16,16,9,13.661735765170604,13.661735765170604,19.66395918040847
2692,3,2.5871714775487344,21,21,12,16.36457097147658,16.36457097147658,25.848843269415184
